tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
40393169,MarkUsProject/Markus,False,,,ruby,,master,,,merge_found,,,,13,0bda4cd42a4a1b73a1a3d3cf963c1fe0f242c38a,1,0bda4cd42a4a1b73a1a3d3cf963c1fe0f242c38a,,0bda4cd42a4a1b73a1a3d3cf963c1fe0f242c38a,,0,,2,0,2,0,1,0,0,1,0,2,235,18108,970.5102717031149,76.0989617848465,268.665783079302,True,,,2014-11-08 15:31:54,passed,715.0,[40393170],1,40393170,java,ok,8.0,java-ant,,False,,,,,,,,,True
40397313,MarkUsProject/Markus,True,2014-11-08 15:35:30,1874.0,ruby,commits_in_master,master,3.0,949828ccde88ee256db988bdb81997d58b8cd104#eff05d03016d4bcc4975fb2531ab007433c3e265#851dbf91b1668cfa208a461055a7ee930446c693,build_found,0bda4cd42a4a1b73a1a3d3cf963c1fe0f242c38a,40393169.0,2014-11-08 15:35:26,13,eff05d03016d4bcc4975fb2531ab007433c3e265#949828ccde88ee256db988bdb81997d58b8cd104,2,eff05d03016d4bcc4975fb2531ab007433c3e265,0bda4cd42a4a1b73a1a3d3cf963c1fe0f242c38a,ab1bcc50b5a30e9eddce3f0d3ad87ec8b998fd04,0.0,0,0.0,97,0,1,0,3,0,0,2,1,0,73,18112,970.2959363957599,76.08215547703179,268.606448763251,True,4.0,2014-11-11 13:35:30,2014-11-08 16:36:42,passed,916.0,[40397314],2,40397314,java,ok,9.0,java-ant,,False,,,,,,,,,True
40583519,MarkUsProject/Markus,False,,,ruby,,repo-browser,18.0,36f912e67af15ab97592969cf205f5d61516688d#75e4e6686d116d6c33144f8e0bbe1c816047852d#e0f8eda0a2e8cca1afcdbff0830eed24c3fab233#ea5d868ddbfea924c920f9a6c92760f620173353#4c21a1f24a6b5bbf6316493df010ebbd080ad90d#7f2ebc5ca75195103c75747ea103828aefdccf5a#4a17770bd45de9af7c09314eed24b65982fd3d19#8969825b74209ddd8b501cdac6c4f4723e079fa1#e7a60905a4bd2dcc946f112328f3798882e686cd#9162d76b157c79b1ceea8b88468b5736d086fce1#cf08532288cbbecfe650ae98f73f15729902b5f6#f53630c32a86513ca3b9c76179b3f7af748462f9#cb9093269dd28567b58a3a9e773f514a56ce9b68#ae944e5ccf0329220aedd86a76f09b2f36899077#6e1ca8cb8f974ee91ee73195b9646bc45a4a5867#a2f2b3c440cb88104265f5b036d1c8b9cd0417cd#6c7fea11c242e674c13e64d9fe782c57b26721b6#f40988c6abce77701694c6d40798509715695f7f,merge_found,,,2014-10-28 17:32:45,12,f40988c6abce77701694c6d40798509715695f7f,1,f40988c6abce77701694c6d40798509715695f7f,,f40988c6abce77701694c6d40798509715695f7f,,0,,313,0,1,5,3,0,0,2,7,0,473,17949,974.0932642487049,76.71736586996491,271.937155273274,True,,2014-11-10 20:13:47,2014-11-10 20:19:42,errored,4.0,[40583520],3,40583520,ruby,unknown,,ruby,,False,,,,,,,,,False
40588557,MarkUsProject/Markus,False,,,ruby,,repo-browser,1.0,234c759d18c939b0132b102046c90de661d84102,build_found,f40988c6abce77701694c6d40798509715695f7f,40583519.0,2014-11-10 21:02:47,12,234c759d18c939b0132b102046c90de661d84102,1,234c759d18c939b0132b102046c90de661d84102,,234c759d18c939b0132b102046c90de661d84102,,2,,6,0,0,0,1,0,0,1,0,0,340,17949,974.0932642487049,76.71736586996491,271.937155273274,True,,2014-11-10 21:04:06,2014-11-10 21:11:46,errored,7.0,[40588558],4,40588558,ruby,unknown,,ruby,,False,,,,,,,,,False
40612238,MarkUsProject/Markus,True,2014-11-07 18:05:21,1870.0,ruby,commits_in_master,rails4,18.0,e11631066779749f5ccd86271ebdeedec09de85e#154b43de51ff1932476743c8cb40e08234f277d0#8461d6304e9b8719b0f57af6cb9dca882c61640b#ae1c26bcf9b9cce6df54d80b2170c28d7e4d7a3b#bb2abb4ce1f7be0e91535a58768c750d0e2a6df2#b7b6496b22d5f0ed0d1f6d2e6c98c6712e8a2f33#4cc659ac7f769cffee78dddad7568ef7a12100d5#c1144fdfbfa7a8c7d896e9e0eeb927587230c7a9#675e610d7a11df68acdf12beac9d3c4d6e593780#17681baa2dde95c9c05d407d68b06444ba251787#7bd762268d1265e41d9e66b0989a819afb8b141a#9fbe8e9ef681969046895d517c4b3870277c47f6#f31028a82a2a3a2516ba55e5a3092625833a8de4#84d64936efaee995fd9a0bdab792d3804c573d66#f696886a095e8e75c141a98a51dc1b001686bb80#504bd1b985ce913af80c2f9661c88f5c34119aba#d1dee4f2950efb0e7473d79557073f9198630fad#66520389c9797b3911db375864954eb4b2c3b473,merge_found,,,2014-11-06 16:07:14,12,d1dee4f2950efb0e7473d79557073f9198630fad#504bd1b985ce913af80c2f9661c88f5c34119aba#f696886a095e8e75c141a98a51dc1b001686bb80#84d64936efaee995fd9a0bdab792d3804c573d66#f31028a82a2a3a2516ba55e5a3092625833a8de4#9fbe8e9ef681969046895d517c4b3870277c47f6#7bd762268d1265e41d9e66b0989a819afb8b141a#17681baa2dde95c9c05d407d68b06444ba251787#675e610d7a11df68acdf12beac9d3c4d6e593780#c1144fdfbfa7a8c7d896e9e0eeb927587230c7a9#4cc659ac7f769cffee78dddad7568ef7a12100d5#b7b6496b22d5f0ed0d1f6d2e6c98c6712e8a2f33#bb2abb4ce1f7be0e91535a58768c750d0e2a6df2#ae1c26bcf9b9cce6df54d80b2170c28d7e4d7a3b#8461d6304e9b8719b0f57af6cb9dca882c61640b#154b43de51ff1932476743c8cb40e08234f277d0#e11631066779749f5ccd86271ebdeedec09de85e#e008852c638a5468d3c5764d5c0604735b9c1bfd#ee3ce3f2e58cc7b78e1e768e8fd9068f634194ec#43af0e8c1513fdf13aee58000a35edec06d256f8#b6caa040fa5f20ddc8ffc663cf31a86945b40057#fe34f1de300084f03cbe294e308d54bc3d62d8cd#366e595dbfe9b49a746f18ad67d65fdd8b1b376a#977e01541206e3ffd8eccd6cf6277eb1c3e6fab4#447ed7fbe89c3fce92c090e625e2620f0cd02fa5#b72eef46691d86e1bd71e5f37cec5d348940939f#7a17ef2334972352e8a355c973fe9775bf969719#8ad16393fbee3ffa79559abacff69a8552340f6a#d1a6429112b22d47414ef44c5cd891d99f151b92#fa944533267753a1a33a4d68aeccb21b445304dd,30,d1dee4f2950efb0e7473d79557073f9198630fad,0effb11f299b9bcf36ec00e8e8ffb131c97c1a22,838dc6ca3c73784ff1f69eca88bb5e48e9db3097,1.0,0,27.0,324,122,0,0,48,0,0,36,12,0,1836,18061,967.4436631415759,76.46309728143508,274.015835225071,False,91.0,2014-11-11 18:28:26,2014-11-11 01:45:27,errored,3.0,[40612239],10,40612239,ruby,unknown,,ruby,,False,,,,,,,,,False
40658918,MarkUsProject/Markus,False,,,ruby,,master,3.0,949828ccde88ee256db988bdb81997d58b8cd104#eff05d03016d4bcc4975fb2531ab007433c3e265#851dbf91b1668cfa208a461055a7ee930446c693,merge_found,,,2014-11-08 15:35:26,12,851dbf91b1668cfa208a461055a7ee930446c693,1,851dbf91b1668cfa208a461055a7ee930446c693,,851dbf91b1668cfa208a461055a7ee930446c693,,0,,49,0,1,0,2,0,0,2,1,0,75,18112,970.2959363957599,76.08215547703179,268.606448763251,True,,2014-11-11 13:35:30,2014-11-11 13:37:08,passed,1216.0,[40658919],11,40658919,java,ok,14.0,java-ant,,False,,,,,,,,,True
40691436,MarkUsProject/Markus,False,,,ruby,,rails4,18.0,e11631066779749f5ccd86271ebdeedec09de85e#154b43de51ff1932476743c8cb40e08234f277d0#8461d6304e9b8719b0f57af6cb9dca882c61640b#ae1c26bcf9b9cce6df54d80b2170c28d7e4d7a3b#bb2abb4ce1f7be0e91535a58768c750d0e2a6df2#b7b6496b22d5f0ed0d1f6d2e6c98c6712e8a2f33#4cc659ac7f769cffee78dddad7568ef7a12100d5#c1144fdfbfa7a8c7d896e9e0eeb927587230c7a9#675e610d7a11df68acdf12beac9d3c4d6e593780#17681baa2dde95c9c05d407d68b06444ba251787#7bd762268d1265e41d9e66b0989a819afb8b141a#9fbe8e9ef681969046895d517c4b3870277c47f6#f31028a82a2a3a2516ba55e5a3092625833a8de4#84d64936efaee995fd9a0bdab792d3804c573d66#f696886a095e8e75c141a98a51dc1b001686bb80#504bd1b985ce913af80c2f9661c88f5c34119aba#d1dee4f2950efb0e7473d79557073f9198630fad#66520389c9797b3911db375864954eb4b2c3b473,merge_found,,,2014-11-06 16:07:14,12,66520389c9797b3911db375864954eb4b2c3b473,1,66520389c9797b3911db375864954eb4b2c3b473,,66520389c9797b3911db375864954eb4b2c3b473,,0,,52,31,0,0,11,0,0,11,0,0,954,18061,967.4436631415759,76.46309728143508,274.015835225071,True,,2014-11-11 18:28:26,2014-11-11 18:38:29,errored,3.0,[40691437],12,40691437,ruby,unknown,,ruby,,False,,,,,,,,,False
40734090,MarkUsProject/Markus,True,2014-11-12 01:52:10,1877.0,ruby,commits_in_master,master,4.0,b54841db1bbe0a71eff49c34dad89e1af97be588#28bcf4536c1893be630875906b83d308e203f6ff#707ec94410d3ce56030026b9a8459a618d54a229#d8570687d27af0db67b9e665c1e43c1eb688cb42,merge_found,,,2014-11-12 02:47:12,12,28bcf4536c1893be630875906b83d308e203f6ff#b54841db1bbe0a71eff49c34dad89e1af97be588#6c7fea11c242e674c13e64d9fe782c57b26721b6#a2f2b3c440cb88104265f5b036d1c8b9cd0417cd#6e1ca8cb8f974ee91ee73195b9646bc45a4a5867#ae944e5ccf0329220aedd86a76f09b2f36899077#cb9093269dd28567b58a3a9e773f514a56ce9b68#f53630c32a86513ca3b9c76179b3f7af748462f9#cf08532288cbbecfe650ae98f73f15729902b5f6#9162d76b157c79b1ceea8b88468b5736d086fce1#e7a60905a4bd2dcc946f112328f3798882e686cd#8969825b74209ddd8b501cdac6c4f4723e079fa1#4a17770bd45de9af7c09314eed24b65982fd3d19#7f2ebc5ca75195103c75747ea103828aefdccf5a#4c21a1f24a6b5bbf6316493df010ebbd080ad90d#ea5d868ddbfea924c920f9a6c92760f620173353#e0f8eda0a2e8cca1afcdbff0830eed24c3fab233#75e4e6686d116d6c33144f8e0bbe1c816047852d#36f912e67af15ab97592969cf205f5d61516688d#a91fc900d9d01779609136b5fdc8354e94b0aef9,20,28bcf4536c1893be630875906b83d308e203f6ff,851dbf91b1668cfa208a461055a7ee930446c693,9dbbee7788aec339a7b650eccf5cb3f62c73d304,1.0,2,2.0,507,0,1,5,10,0,0,3,12,0,571,17954,973.8219895287959,76.69600089116629,271.861423638187,True,13.0,2014-11-12 19:56:11,2014-11-12 02:53:26,failed,907.0,[40734091],13,40734091,java,broken,7.0,java-ant,,False,,,,,,,,,False
40734560,MarkUsProject/Markus,True,2014-11-12 02:03:56,1878.0,ruby,commits_in_master,repo-browser,4.0,b54841db1bbe0a71eff49c34dad89e1af97be588#28bcf4536c1893be630875906b83d308e203f6ff#707ec94410d3ce56030026b9a8459a618d54a229#d8570687d27af0db67b9e665c1e43c1eb688cb42,merge_found,,,2014-11-12 02:47:12,12,28bcf4536c1893be630875906b83d308e203f6ff#b54841db1bbe0a71eff49c34dad89e1af97be588#6c7fea11c242e674c13e64d9fe782c57b26721b6#a2f2b3c440cb88104265f5b036d1c8b9cd0417cd#6e1ca8cb8f974ee91ee73195b9646bc45a4a5867#ae944e5ccf0329220aedd86a76f09b2f36899077#cb9093269dd28567b58a3a9e773f514a56ce9b68#f53630c32a86513ca3b9c76179b3f7af748462f9#cf08532288cbbecfe650ae98f73f15729902b5f6#9162d76b157c79b1ceea8b88468b5736d086fce1#e7a60905a4bd2dcc946f112328f3798882e686cd#8969825b74209ddd8b501cdac6c4f4723e079fa1#4a17770bd45de9af7c09314eed24b65982fd3d19#7f2ebc5ca75195103c75747ea103828aefdccf5a#4c21a1f24a6b5bbf6316493df010ebbd080ad90d#ea5d868ddbfea924c920f9a6c92760f620173353#e0f8eda0a2e8cca1afcdbff0830eed24c3fab233#75e4e6686d116d6c33144f8e0bbe1c816047852d#36f912e67af15ab97592969cf205f5d61516688d#a91fc900d9d01779609136b5fdc8354e94b0aef9,20,28bcf4536c1893be630875906b83d308e203f6ff,234c759d18c939b0132b102046c90de661d84102,19fc05bedeb7391e3222b4c7b921995a4fdba3d5,1.0,2,2.0,507,0,1,5,10,0,0,3,12,0,571,17954,973.8219895287959,76.69600089116629,271.861423638187,True,18.0,2014-11-12 19:56:11,2014-11-12 03:04:44,errored,3.0,[40734561],14,40734561,ruby,unknown,,ruby,,False,,,,,,,,,False
40813032,MarkUsProject/Markus,False,,,ruby,,repo-browser,4.0,b54841db1bbe0a71eff49c34dad89e1af97be588#28bcf4536c1893be630875906b83d308e203f6ff#707ec94410d3ce56030026b9a8459a618d54a229#d8570687d27af0db67b9e665c1e43c1eb688cb42,merge_found,,,2014-11-12 02:47:12,12,d8570687d27af0db67b9e665c1e43c1eb688cb42,1,d8570687d27af0db67b9e665c1e43c1eb688cb42,,d8570687d27af0db67b9e665c1e43c1eb688cb42,,0,,31,0,0,0,2,0,0,2,0,0,389,17955,973.767752715121,76.6917293233083,271.846282372598,True,,2014-11-12 19:56:11,2014-11-12 20:04:36,errored,7.0,[40813033],15,40813033,ruby,unknown,,ruby,,False,,,,,,,,,False
