tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
16497571,AzureAD/azure-activedirectory-library-for-android,False,,,java,,dev_discovery_fx,,,merge_found,,,,11,fe8e8334d1989cf8ff2a4c139dfc764b57b44fee#119a6509f9bc77091c7c10dac3f356a271004198#6f3681994487d49614558972af52a98b33c40d73,3,fe8e8334d1989cf8ff2a4c139dfc764b57b44fee,,fe8e8334d1989cf8ff2a4c139dfc764b57b44fee,,0,,478,333,5,1,14,0,0,12,0,8,137,7280,565.521978021978,0.0,71.2912087912088,False,,,2014-01-07 00:01:22,errored,303.0,[16497572],1,16497572,java,unknown,,java-ant,,False,,,,,,,,,False
16615317,AzureAD/azure-activedirectory-library-for-android,False,,,java,,dev_testmatrix,,,merge_found,,,,11,052dea012527864677209bd2c451c38bf54a98f7#3881e871acc7cd2c4b72d54dcf1d71ce1e6636cd#784d70a6acc841b4446190817d9378835f5146a1#bcd32864898b84af5b94d34047e79a3d0cec6092#32998b989f04d65274725791ef5abf115ea48708#6f3681994487d49614558972af52a98b33c40d73,6,052dea012527864677209bd2c451c38bf54a98f7,,052dea012527864677209bd2c451c38bf54a98f7,,0,,349,3778,19,5,15,0,0,38,0,42,136,7273,570.328612677025,0.0,69.5723910353362,False,,,2014-01-08 21:16:33,errored,186.0,[16615318],3,16615318,java,unknown,,java-ant,,False,,,,,,,,,False
16677096,AzureAD/azure-activedirectory-library-for-android,False,,,java,,dev_encrypt,,,merge_found,,,,11,be3115af0efa16875e3313b73772464dc8bad92f#4d1229039484da7b4116974e07fcb2e76af44411#0907406804373a37a391cc88e8317403caef8778#9059c6289e6557c9a62f239e4e718bd49ce17c45#6f3681994487d49614558972af52a98b33c40d73,5,be3115af0efa16875e3313b73772464dc8bad92f,,be3115af0efa16875e3313b73772464dc8bad92f,,8,,555,319,8,1,17,0,0,11,0,14,135,7409,556.890268592253,0.0,68.8352004319071,False,,,2014-01-09 20:08:05,failed,879.0,[16677097],7,16677097,java,broken,,java-ant,,False,,,,,,,,33.0,False
16689161,AzureAD/azure-activedirectory-library-for-android,False,,,java,,dev_testmatrix,,,build_found,052dea012527864677209bd2c451c38bf54a98f7,16615317.0,,11,54838b613593ed4666445db3b1862921c680b432,1,54838b613593ed4666445db3b1862921c680b432,,54838b613593ed4666445db3b1862921c680b432,,0,,4,3,1,0,11,0,0,2,0,9,32,7274,570.525158097333,0.0,69.5628265053616,True,,,2014-01-09 23:44:39,failed,470.0,[16689162],9,16689162,java,broken,,java-ant,,False,,,,,,,,10.0,False
16692197,AzureAD/azure-activedirectory-library-for-android,False,,,java,,dev_discovery_fx,,,build_found,fe8e8334d1989cf8ff2a4c139dfc764b57b44fee,16497571.0,,11,b2c733d212bbfff2b80af4b84348fd3808f2cbba,1,b2c733d212bbfff2b80af4b84348fd3808f2cbba,,b2c733d212bbfff2b80af4b84348fd3808f2cbba,,0,,75,50,0,0,3,0,0,3,0,0,38,7271,565.2592490716539,0.0,71.10438729198191,True,,,2014-01-10 00:38:08,errored,225.0,[16692199],11,16692199,java,unknown,,java-ant,,False,,,,,,,,,False
16738649,AzureAD/azure-activedirectory-library-for-android,False,,,java,,dev_quickdirectoryfix,,,merge_found,,,,11,6a65f9b235667fc6e1f1884c286117854c11b98c#6f3681994487d49614558972af52a98b33c40d73,2,6a65f9b235667fc6e1f1884c286117854c11b98c,,6a65f9b235667fc6e1f1884c286117854c11b98c,,0,,325,265,5,1,18,0,0,9,0,15,134,7269,561.562800935479,0.0,69.47310496629521,False,,,2014-01-10 18:11:20,errored,222.0,[16738650],13,16738650,java,unknown,,java-ant,,False,,,,,,,,,False
16739050,AzureAD/azure-activedirectory-library-for-android,False,,,java,,master,,,merge_found,,,,11,5a79555686f865c0c2ebe83ec17880668e5ec1e5,1,5a79555686f865c0c2ebe83ec17880668e5ec1e5,,5a79555686f865c0c2ebe83ec17880668e5ec1e5,,0,,0,0,0,0,10,0,0,0,0,10,28,7269,561.562800935479,0.0,69.47310496629521,False,,,2014-01-10 18:16:49,errored,218.0,[16739051],15,16739051,java,unknown,,java-ant,,False,,,,,,,,,False
16756825,AzureAD/azure-activedirectory-library-for-android,False,,,java,,dev_testmatrix,,,merge_found,,,,11,af67e4657bd046ae2ab6eaa0b727ff4603079c58,1,af67e4657bd046ae2ab6eaa0b727ff4603079c58,,af67e4657bd046ae2ab6eaa0b727ff4603079c58,,0,,0,11,0,0,5,0,0,1,0,4,14,7274,571.624965631015,0.0,69.5628265053616,True,,,2014-01-11 00:14:23,failed,485.0,[16756826],16,16756826,java,broken,,java-ant,,False,,,,,,,,6.0,False
16756909,AzureAD/azure-activedirectory-library-for-android,False,,,java,,master,,,merge_found,,,,11,adca19ae54b824bc5bd43c04f03a34e895fe6685,1,adca19ae54b824bc5bd43c04f03a34e895fe6685,,adca19ae54b824bc5bd43c04f03a34e895fe6685,,0,,28,411,14,3,4,0,0,30,0,30,52,7274,571.624965631015,0.0,69.5628265053616,True,,,2014-01-11 00:15:49,failed,516.0,[16756910],18,16756910,java,broken,,java-ant,,False,,,,,,,,10.0,False
16919517,AzureAD/azure-activedirectory-library-for-android,False,,,java,,dev_encrypt,,,merge_found,,,,11,eba8b30087f24f3c809a0d82d1823c00d6027224#8e2e140f07f6358e0fbf7d08928bea7af232dd0f#856a3a0f751782d6a231f68ee99d5ffbc97b0e7e#4606856d322be45be63fa04dbb321fc9904bbc2c,4,eba8b30087f24f3c809a0d82d1823c00d6027224,,eba8b30087f24f3c809a0d82d1823c00d6027224,,0,,381,687,18,4,11,0,0,35,0,36,80,7527,573.402417962003,0.0,69.74890394579509,True,,,2014-01-14 08:59:50,errored,159.0,[16919518],19,16919518,java,unknown,,java-ant,,False,,,,,,,,,False
