tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
8068919,chef/chef,False,,,ruby,,master,,,merge_found,,,,27,9a95a632921001d971365382414ca0c44aca27e4#98c245244836f65839b795cb992b371c575d777e,2,9a95a632921001d971365382414ca0c44aca27e4,,9a95a632921001d971365382414ca0c44aca27e4,,0,,2,41,1,0,3,0,0,3,0,1,23,40631,1277.02985405232,131.30368437892201,226.84649651743698,False,,,2013-06-13 22:19:49,passed,1542.0,"[8068920, 8068921, 8068922]",1,8068922,ruby,ok,,ruby,rspec,True,False,7993.0,0.0,7993.0,253.0,,52.04,,True
8072360,chef/chef,False,,,ruby,,ss/OC-8297,,,build_found,9a95a632921001d971365382414ca0c44aca27e4,8068919.0,,27,e898cecd7b3d479722b719629b1ddd4c8df9aa01,1,e898cecd7b3d479722b719629b1ddd4c8df9aa01,,e898cecd7b3d479722b719629b1ddd4c8df9aa01,,0,,9,0,0,0,1,0,0,1,0,0,42,40631,1277.02985405232,131.30368437892201,226.84649651743698,True,,,2013-06-14 00:38:43,passed,1607.0,"[8072361, 8072363, 8072362]",4,8072361,ruby,unknown,,ruby,rspec,True,False,7994.0,0.0,7994.0,267.0,,2.73,,True
8098752,chef/chef,False,,,ruby,,ss/OC-8297,,,build_found,e898cecd7b3d479722b719629b1ddd4c8df9aa01,8072360.0,,27,126635988ecebd582e89afa4b6b5e6d8d07fa1ef#241c0d60cce8cd3a85b5a3c078696b2cad43e0f2,2,126635988ecebd582e89afa4b6b5e6d8d07fa1ef,,126635988ecebd582e89afa4b6b5e6d8d07fa1ef,,0,,0,253,1,0,13,0,0,14,0,0,94,40631,1277.59592429426,131.328296128572,226.87110826708698,True,,,2013-06-14 20:24:43,failed,1482.0,"[8098754, 8098753, 8098755]",6,8098755,ruby,broken,,ruby,rspec,True,True,7993.0,1.0,7994.0,253.0,,8.3,,False
8101196,chef/chef,False,,,ruby,,ss/OC-8297,,,build_found,126635988ecebd582e89afa4b6b5e6d8d07fa1ef,8098752.0,,27,42700be6af79e6154993608aaa375fd4af359cdb,1,42700be6af79e6154993608aaa375fd4af359cdb,,42700be6af79e6154993608aaa375fd4af359cdb,,0,,0,19,0,0,1,0,0,1,0,0,1,40631,1277.8174300411,131.328296128572,226.84649651743698,True,,,2013-06-14 21:41:42,passed,1485.0,"[8101197, 8101198, 8101199]",12,8101198,ruby,ok,,ruby,rspec,True,False,7995.0,0.0,7995.0,253.0,,44.96,,True
8101308,chef/chef,False,,,ruby,,lcg/cloexec_lockfile,,,build_found,9a95a632921001d971365382414ca0c44aca27e4,8068919.0,,27,c30083f59dd2860eebd7ca269f1e36837d6a58e6,1,c30083f59dd2860eebd7ca269f1e36837d6a58e6,,c30083f59dd2860eebd7ca269f1e36837d6a58e6,,0,,5,0,0,0,1,0,0,1,0,0,4,40635,1276.90414667159,131.290759197736,226.82416635905,False,,,2013-06-14 21:50:40,passed,1637.0,"[8101310, 8101311, 8101309]",14,8101311,ruby,ok,,ruby,rspec,True,False,7993.0,0.0,7993.0,253.0,,23.89,,True
8101978,chef/chef,False,,,ruby,,master,,,merge_found,,,,27,86310112ed1aa81045f179d47c89e3cfb65e12e7,1,86310112ed1aa81045f179d47c89e3cfb65e12e7,,86310112ed1aa81045f179d47c89e3cfb65e12e7,,0,,9,262,1,0,14,0,0,15,0,0,140,40631,1277.8174300411,131.328296128572,226.84649651743698,True,,,2013-06-14 22:05:50,passed,1476.0,"[8101979, 8101981, 8101980]",15,8101981,ruby,ok,,ruby,rspec,True,False,7994.0,0.0,7994.0,253.0,,11.02,,True
8104535,chef/chef,False,,,ruby,,master,,,build_found,86310112ed1aa81045f179d47c89e3cfb65e12e7,8101978.0,,27,51d8059bd067f1a67361db3705648e4394c85d84,1,51d8059bd067f1a67361db3705648e4394c85d84,,51d8059bd067f1a67361db3705648e4394c85d84,,0,,0,4,0,0,1,0,0,1,0,0,18,40631,1277.8174300411,131.328296128572,226.84649651743698,True,,,2013-06-14 23:58:30,passed,1409.0,"[8104538, 8104537, 8104536]",17,8104538,ruby,ok,,ruby,rspec,True,False,7994.0,0.0,7994.0,253.0,,22.13,,True
8104833,chef/chef,False,,,ruby,,crlf-conversion-rage,,,build_found,51d8059bd067f1a67361db3705648e4394c85d84,8104535.0,,27,8eb66a3463bb58a96b68dc156551f5772264b725,1,8eb66a3463bb58a96b68dc156551f5772264b725,,8eb66a3463bb58a96b68dc156551f5772264b725,,0,,2,12,0,0,3,0,0,2,1,0,29,40631,1277.8174300411,131.328296128572,226.84649651743698,True,,,2013-06-15 00:12:42,passed,1409.0,"[8104835, 8104836, 8104834]",20,8104836,ruby,ok,,ruby,rspec,True,False,7994.0,0.0,7994.0,253.0,,6.37,,True
8105096,chef/chef,False,,,ruby,,master,,,build_found,51d8059bd067f1a67361db3705648e4394c85d84,8104535.0,,27,8eb66a3463bb58a96b68dc156551f5772264b725,1,8eb66a3463bb58a96b68dc156551f5772264b725,,8eb66a3463bb58a96b68dc156551f5772264b725,,0,,2,12,0,0,3,0,0,2,1,0,29,40631,1277.8174300411,131.328296128572,226.84649651743698,True,,,2013-06-15 00:27:27,passed,1568.0,"[8105098, 8105097, 8105099]",22,8105098,ruby,ok,,ruby,rspec,True,False,7995.0,0.0,7995.0,253.0,,56.16,,True
8172708,chef/chef,False,,,ruby,,11-stable-mixlib-shellout-tests,,,merge_found,,,,27,71f7aee1533719be12e7f577b59a6b185e9171a0#c9f21f2ae307a7956d3a3b8777a52658e246d6b2,2,71f7aee1533719be12e7f577b59a6b185e9171a0,,71f7aee1533719be12e7f577b59a6b185e9171a0,,0,,2065,1790,11,0,84,0,0,85,8,2,369,36981,1188.77261296341,131.364754874125,226.656931938022,False,,,2013-06-17 19:32:12,failed,390.0,[8172709],26,8172709,ruby,broken,,ruby,rspec,True,True,6166.0,5.0,6171.0,52.0,,50.26,,False
