tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
50879731,embulk/embulk,False,,,java,,master,1.0,ae421c3107876f86c7887644b3938f39f653a2f3,merge_found,,,2015-02-15 23:15:14,6,ae421c3107876f86c7887644b3938f39f653a2f3#f71ae2f55e9f9c78dae52fc650a7b277434ce8a5,2,ae421c3107876f86c7887644b3938f39f653a2f3,,ae421c3107876f86c7887644b3938f39f653a2f3,,0,,722,0,14,0,4,0,0,5,0,4,82,7581,297.322253000923,9.49742777997626,20.8415776282812,True,,2015-02-15 23:15:17,2015-02-15 23:16:19,errored,4.0,[50879732],1,50879732,java,unknown,0.0,java-ant,,False,,,,,,,,,False
50880472,embulk/embulk,False,,,java,,master,1.0,c83cf9d72d5f78374020468308f761ce1a15bf39,build_found,ae421c3107876f86c7887644b3938f39f653a2f3,50879731.0,2015-02-15 23:25:43,6,c83cf9d72d5f78374020468308f761ce1a15bf39,1,c83cf9d72d5f78374020468308f761ce1a15bf39,,c83cf9d72d5f78374020468308f761ce1a15bf39,,0,,0,0,0,0,1,0,0,0,0,1,2,7581,297.322253000923,9.49742777997626,20.8415776282812,True,,2015-02-15 23:25:48,2015-02-15 23:27:36,failed,282.0,[50880473],2,50880473,java,broken,0.0,java-gradle,junit,True,False,,0.0,,,,,,False
50883483,embulk/embulk,False,,,java,,master,3.0,dab3da02e38a794375a764dd96f119dbaa395ff6#4f8641863d4f76159239b4b6dcb1d3f6e474f2b5#1c4ad2654ace267af069ea8f5cd8ba3edccfef43,build_found,dab3da02e38a794375a764dd96f119dbaa395ff6,,2015-02-15 23:25:53,6,1c4ad2654ace267af069ea8f5cd8ba3edccfef43#4f8641863d4f76159239b4b6dcb1d3f6e474f2b5,2,1c4ad2654ace267af069ea8f5cd8ba3edccfef43,,1c4ad2654ace267af069ea8f5cd8ba3edccfef43,,0,,2,0,0,0,2,0,0,1,0,1,81,7581,297.322253000923,9.49742777997626,20.8415776282812,True,,2015-02-16 00:12:08,2015-02-16 00:12:23,failed,244.0,[50883484],3,50883484,java,broken,0.0,java-gradle,junit,True,False,,0.0,,,,,,False
50883508,embulk/embulk,False,,,java,,v0.4.0,3.0,dab3da02e38a794375a764dd96f119dbaa395ff6#4f8641863d4f76159239b4b6dcb1d3f6e474f2b5#1c4ad2654ace267af069ea8f5cd8ba3edccfef43,build_found,c83cf9d72d5f78374020468308f761ce1a15bf39,50880472.0,2015-02-15 23:25:53,6,dab3da02e38a794375a764dd96f119dbaa395ff6,1,dab3da02e38a794375a764dd96f119dbaa395ff6,,dab3da02e38a794375a764dd96f119dbaa395ff6,,0,,6,0,1,1,1,0,0,1,0,1,60,7581,297.322253000923,9.49742777997626,20.8415776282812,True,,2015-02-16 00:12:08,2015-02-16 00:12:29,failed,246.0,[50883509],4,50883509,java,broken,0.0,java-gradle,junit,True,False,,0.0,,,,,,False
50883957,embulk/embulk,False,,,java,,master,1.0,fc1af8f867cbf0b2e290b2330fec6732a1232737,build_found,1c4ad2654ace267af069ea8f5cd8ba3edccfef43,50883483.0,2015-02-16 00:20:18,6,fc1af8f867cbf0b2e290b2330fec6732a1232737,1,fc1af8f867cbf0b2e290b2330fec6732a1232737,,fc1af8f867cbf0b2e290b2330fec6732a1232737,,0,,0,0,0,0,1,0,0,0,0,1,3,7581,297.322253000923,9.49742777997626,20.8415776282812,True,,2015-02-16 00:20:21,2015-02-16 00:20:37,errored,6.0,[50883958],5,50883958,java,unknown,0.0,java-ant,,False,,,,,,,,,False
50884893,embulk/embulk,False,,,java,,master,1.0,4ac49e2c6b233962fea0f67e0721e17e9ea173f6,build_found,fc1af8f867cbf0b2e290b2330fec6732a1232737,50883957.0,2015-02-16 00:32:39,6,4ac49e2c6b233962fea0f67e0721e17e9ea173f6,1,4ac49e2c6b233962fea0f67e0721e17e9ea173f6,,4ac49e2c6b233962fea0f67e0721e17e9ea173f6,,0,,0,0,0,0,1,0,0,0,0,1,4,7581,297.322253000923,9.49742777997626,20.8415776282812,True,,2015-02-16 00:32:42,2015-02-16 00:32:57,failed,252.0,[50884894],6,50884894,java,broken,1.0,java-gradle,junit,True,False,,0.0,,,,,,False
50886234,embulk/embulk,False,,,java,,master,1.0,b7e76cbd53a80e2d46985d610449ba2e90e8db5d,build_found,4ac49e2c6b233962fea0f67e0721e17e9ea173f6,50884893.0,2015-02-16 00:53:12,6,b7e76cbd53a80e2d46985d610449ba2e90e8db5d,1,b7e76cbd53a80e2d46985d610449ba2e90e8db5d,,b7e76cbd53a80e2d46985d610449ba2e90e8db5d,,0,,0,0,0,0,1,0,0,0,0,1,3,7581,297.322253000923,9.49742777997626,20.8415776282812,True,,2015-02-16 00:53:16,2015-02-16 00:53:30,failed,292.0,[50886235],7,50886235,java,broken,0.0,java-gradle,junit,True,False,,0.0,,,,,,False
50887135,embulk/embulk,False,,,java,,master,1.0,c6ebc2cb3fba2a4a9ae1f15514c3bc010299e8a4,build_found,b7e76cbd53a80e2d46985d610449ba2e90e8db5d,50886234.0,2015-02-16 01:09:57,6,c6ebc2cb3fba2a4a9ae1f15514c3bc010299e8a4,1,c6ebc2cb3fba2a4a9ae1f15514c3bc010299e8a4,,c6ebc2cb3fba2a4a9ae1f15514c3bc010299e8a4,,0,,0,0,0,0,1,0,0,0,0,1,30,7581,297.322253000923,9.49742777997626,20.8415776282812,True,,2015-02-16 01:10:01,2015-02-16 01:10:13,failed,320.0,[50887136],8,50887136,java,broken,0.0,java-gradle,junit,True,False,,0.0,,,,,,False
50887655,embulk/embulk,False,,,java,,master,1.0,3abb181085a1af7a90fb911f377e2e3419d8adca,build_found,c6ebc2cb3fba2a4a9ae1f15514c3bc010299e8a4,50887135.0,2015-02-16 01:18:53,6,3abb181085a1af7a90fb911f377e2e3419d8adca,1,3abb181085a1af7a90fb911f377e2e3419d8adca,,3abb181085a1af7a90fb911f377e2e3419d8adca,,0,,0,0,0,0,1,0,0,0,0,1,5,7581,297.322253000923,9.49742777997626,20.8415776282812,True,,2015-02-16 01:18:58,2015-02-16 01:19:08,failed,314.0,[50887656],9,50887656,java,broken,0.0,java-gradle,junit,True,False,,0.0,,,,,,False
50888825,embulk/embulk,False,,,java,,master,1.0,ac45df7ef912ec1bf1b41fd6edf0f2f104f9b270,build_found,3abb181085a1af7a90fb911f377e2e3419d8adca,50887655.0,2015-02-16 01:40:04,6,ac45df7ef912ec1bf1b41fd6edf0f2f104f9b270,1,ac45df7ef912ec1bf1b41fd6edf0f2f104f9b270,,ac45df7ef912ec1bf1b41fd6edf0f2f104f9b270,,0,,2,0,0,0,1,0,0,1,0,0,4,7581,297.322253000923,9.49742777997626,20.8415776282812,True,,2015-02-16 01:40:10,2015-02-16 01:40:24,failed,276.0,[50888826],10,50888826,java,broken,0.0,java-gradle,junit,True,False,,0.0,,,,,,False
