tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
13293242,asm-helpful/helpful-web,False,,,ruby,,master,,,no_previous_build,f4fb028faba7cddb931c560f2bf8361f4bcfd744,,,21,14b10f8bad575ea98237e5c7ff656a3a18b773a7#f891ec043c9740d00df36077317c17d2d11828f3#ffe0f555b386f1c5bbb5c0d83bafd43782c622f3#d3dba2de15c8403c990b118e26f2d412585f51bf#1cc6d7bff73892f613ffa1c69f12e3ae95f15d50#95ad3f39727691a82cfa0238659c3c60440b9920#f4fb028faba7cddb931c560f2bf8361f4bcfd744,7,14b10f8bad575ea98237e5c7ff656a3a18b773a7,,14b10f8bad575ea98237e5c7ff656a3a18b773a7,,0,,504,35,44,0,14,0,0,27,7,9,0,94,223.40425531914903,21.276595744680897,21.276595744680897,True,,,2013-10-31 00:31:57,passed,65.0,[13293243],1,13293243,ruby,ok,,ruby,,False,,,,,,,,,True
13293368,asm-helpful/helpful-web,False,,,ruby,,master,,,build_found,14b10f8bad575ea98237e5c7ff656a3a18b773a7,13293242.0,,21,01e1f8b172c3dcb2015cd34b73b56317ea1a65b1,1,01e1f8b172c3dcb2015cd34b73b56317ea1a65b1,,01e1f8b172c3dcb2015cd34b73b56317ea1a65b1,,0,,2,0,0,0,1,0,0,1,0,0,2,94,223.40425531914903,21.276595744680897,21.276595744680897,True,,,2013-10-31 00:35:26,passed,78.0,[13293369],2,13293369,ruby,ok,,ruby,,False,,,,,,,,,True
13333108,asm-helpful/helpful-web,False,,,ruby,,master,,,build_found,01e1f8b172c3dcb2015cd34b73b56317ea1a65b1,13293368.0,,21,8d6f610d0ee641cb9f628b38eb0aedfd24ead15b,1,8d6f610d0ee641cb9f628b38eb0aedfd24ead15b,,8d6f610d0ee641cb9f628b38eb0aedfd24ead15b,,0,,0,0,0,0,1,0,0,0,1,0,1,94,223.40425531914903,21.276595744680897,21.276595744680897,True,,,2013-10-31 19:17:05,passed,82.0,[13333109],3,13333109,ruby,ok,,ruby,,False,,,,,,,,,True
13333131,asm-helpful/helpful-web,False,,,ruby,,master,,,build_found,8d6f610d0ee641cb9f628b38eb0aedfd24ead15b,13333108.0,,21,741ae8f98950de069e0aa799d929154313725bb0,1,741ae8f98950de069e0aa799d929154313725bb0,,741ae8f98950de069e0aa799d929154313725bb0,,0,,10,0,0,0,2,0,0,2,0,0,2,94,223.40425531914903,21.276595744680897,21.276595744680897,True,,,2013-10-31 19:17:22,passed,49.0,[13333132],4,13333132,ruby,ok,,ruby,,False,,,,,,,,,True
13338109,asm-helpful/helpful-web,False,,,ruby,,master,,,build_found,741ae8f98950de069e0aa799d929154313725bb0,13333131.0,,21,30c8edb7e60b118ccafb046ea09da5a450414e36#392102fc17061021b5fc5e208e5b731fdf383a67,2,30c8edb7e60b118ccafb046ea09da5a450414e36,,30c8edb7e60b118ccafb046ea09da5a450414e36,,0,,88,15,11,1,2,0,0,13,1,0,2,143,209.79020979020999,13.986013986014,13.986013986014,True,,,2013-10-31 21:14:40,passed,62.0,[13338110],5,13338110,ruby,ok,,ruby,,False,,,,,,,,,True
13338503,asm-helpful/helpful-web,False,,,ruby,,master,,,build_found,30c8edb7e60b118ccafb046ea09da5a450414e36,13338109.0,,21,a013ce00d338f51c13f4a4869db3482eda1f2140,1,a013ce00d338f51c13f4a4869db3482eda1f2140,,a013ce00d338f51c13f4a4869db3482eda1f2140,,0,,24,0,1,0,4,0,0,5,0,0,3,161,186.335403726708,12.422360248447198,12.422360248447198,True,,,2013-10-31 21:24:36,passed,73.0,[13338504],6,13338504,ruby,ok,,ruby,,False,,,,,,,,,True
13340153,asm-helpful/helpful-web,False,,,ruby,,master,,,build_found,a013ce00d338f51c13f4a4869db3482eda1f2140,13338503.0,,21,e3da2852694b50a2385f1c98603ff00e1bbadd3f#37fa4363f64644d88aa565a3370afcb2742d8a03,2,e3da2852694b50a2385f1c98603ff00e1bbadd3f,,e3da2852694b50a2385f1c98603ff00e1bbadd3f,,0,,15,0,0,0,4,0,0,4,0,0,3,166,180.722891566265,12.0481927710843,12.0481927710843,True,,,2013-10-31 22:02:57,passed,82.0,[13340154],7,13340154,ruby,ok,,ruby,,False,,,,,,,,,True
13383231,asm-helpful/helpful-web,True,2013-11-01 19:32:53,1.0,ruby,merge_button,master,,,build_found,e3da2852694b50a2385f1c98603ff00e1bbadd3f,13340153.0,,21,460a2cf0af6bd0256b39c46a056cbe27405ab2c2#05131e652b8615832702a675b5db00a5b728d6cd,2,460a2cf0af6bd0256b39c46a056cbe27405ab2c2,e3da2852694b50a2385f1c98603ff00e1bbadd3f,c1d6d09bca3558eff29f246dfb4cd79fa95bb667,1.0,0,0.0,66,0,0,0,1,0,0,1,0,0,1,166,180.722891566265,12.0481927710843,12.0481927710843,True,18.0,,2013-11-01 21:09:53,passed,73.0,[13383232],9,13383232,ruby,ok,,ruby,,False,,,,,,,,,True
13385053,asm-helpful/helpful-web,False,,,ruby,,master,,,merge_found,,,,21,b056ecd9e06f21d8d435e52ac5e1e429cae1c5c7,1,b056ecd9e06f21d8d435e52ac5e1e429cae1c5c7,,b056ecd9e06f21d8d435e52ac5e1e429cae1c5c7,,0,,36,0,0,0,1,0,0,1,0,0,3,166,180.722891566265,12.0481927710843,12.0481927710843,True,,,2013-11-01 21:59:23,passed,54.0,[13385054],13,13385054,ruby,ok,,ruby,,False,,,,,,,,,True
13385335,asm-helpful/helpful-web,True,2013-11-01 21:05:55,4.0,ruby,merge_button,master,,,build_found,460a2cf0af6bd0256b39c46a056cbe27405ab2c2,13383231.0,,21,1d2c6c2f0ebc3336731b29b3de74a6b743aca40a,1,1d2c6c2f0ebc3336731b29b3de74a6b743aca40a,b056ecd9e06f21d8d435e52ac5e1e429cae1c5c7,585b7e96cda8ccfc1bc0089bb03c3f5bb36286f9,0.0,0,0.0,22,0,0,0,1,0,0,1,0,0,3,166,180.722891566265,12.0481927710843,12.0481927710843,True,10.0,,2013-11-01 22:07:22,passed,54.0,[13385337],14,13385337,ruby,ok,,ruby,,False,,,,,,,,,True
