tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
15321248,inaturalist/inaturalist,False,,,ruby,,master,4.0,3930c1403c3cbae2b20de34a4d082ebc3620e12f#4cb4a28ff96963f3b24db32ea81e23df6a34a9ad#a849a33ff01a28c86068cd0aa66ceef56ec3de09#fad1787812a4cf5302a52e2ddd433da0e5de82f9,merge_found,,,2013-12-10 19:40:23,6,fad1787812a4cf5302a52e2ddd433da0e5de82f9#a849a33ff01a28c86068cd0aa66ceef56ec3de09#4cb4a28ff96963f3b24db32ea81e23df6a34a9ad#3930c1403c3cbae2b20de34a4d082ebc3620e12f#c118546dcf23f8297da385c67eb33c32dc421344,5,fad1787812a4cf5302a52e2ddd433da0e5de82f9,,fad1787812a4cf5302a52e2ddd433da0e5de82f9,,0,,153,175,8,1,21,0,0,21,4,3,716,36911,274.145918560863,28.7448186177562,47.736447129582004,True,,2013-12-12 02:50:18,2013-12-12 02:51:32,failed,1512.0,[15321249],1,15321249,ruby,broken,,ruby,rspec,True,True,1102.0,2.0,1104.0,37.0,,2.86,,False
15329846,inaturalist/inaturalist,False,,,ruby,,master,2.0,f039e1bef2a4b8481e6bb67a2d86fbc24020234b#623ece5bd259924bc9342fc1f5073cf59b020f73,build_found,fad1787812a4cf5302a52e2ddd433da0e5de82f9,15321248.0,2013-12-12 05:46:50,6,623ece5bd259924bc9342fc1f5073cf59b020f73#f039e1bef2a4b8481e6bb67a2d86fbc24020234b,2,623ece5bd259924bc9342fc1f5073cf59b020f73,,623ece5bd259924bc9342fc1f5073cf59b020f73,,3,,34,39,0,0,5,0,0,5,0,0,809,36931,274.48485012591,28.756329370989103,47.845983049470604,True,,2013-12-12 08:16:23,2013-12-12 08:17:02,passed,968.0,[15329847],2,15329847,ruby,ok,,ruby,rspec,True,False,1105.0,0.0,1105.0,37.0,,0.3,,True
15331430,inaturalist/inaturalist,False,,,ruby,,master,1.0,acc1a739574360bf0f1ced6c287e11a2daf89e6c,build_found,623ece5bd259924bc9342fc1f5073cf59b020f73,15329846.0,2013-12-12 09:04:42,6,acc1a739574360bf0f1ced6c287e11a2daf89e6c,1,acc1a739574360bf0f1ced6c287e11a2daf89e6c,,acc1a739574360bf0f1ced6c287e11a2daf89e6c,,0,,4,15,0,0,2,0,0,2,0,0,432,36931,274.6473152636,28.7834068939373,47.873060572418794,True,,2013-12-12 09:09:37,2013-12-12 09:10:17,passed,1230.0,[15331431],3,15331431,ruby,ok,,ruby,rspec,True,False,1106.0,0.0,1106.0,37.0,,38.49,,True
15429885,inaturalist/inaturalist,False,,,ruby,,master,3.0,b5637e778e70f50e144781f5eff8172111754119#aa2750a033cc19b6e64eafe1fe0612dcd128f168#4dc26c0d35e89dfe351afb780264de7bec04179b,build_found,acc1a739574360bf0f1ced6c287e11a2daf89e6c,15331430.0,2013-12-13 00:09:24,6,4dc26c0d35e89dfe351afb780264de7bec04179b#aa2750a033cc19b6e64eafe1fe0612dcd128f168#b5637e778e70f50e144781f5eff8172111754119,3,4dc26c0d35e89dfe351afb780264de7bec04179b,,4dc26c0d35e89dfe351afb780264de7bec04179b,,0,,68,37,0,0,25,0,0,12,10,3,1210,36953,275.29564582036596,28.847454875111605,48.06105052363811,True,,2013-12-14 00:51:37,2013-12-14 00:52:31,failed,853.0,[15429886],4,15429886,ruby,broken,,ruby,rspec,True,True,1106.0,3.0,1109.0,37.0,,39.01,,False
15436537,inaturalist/inaturalist,True,2013-12-14 05:32:05,207.0,ruby,merge_button,master,2.0,b0b652e0e1be4d7ae4c895ff6bcf65d7c48d7d17#2fef7e4f9e71fe5d1b18daae96f085431bd3f2ba,build_found,4dc26c0d35e89dfe351afb780264de7bec04179b,15429885.0,2013-12-14 06:09:13,6,b0b652e0e1be4d7ae4c895ff6bcf65d7c48d7d17,1,b0b652e0e1be4d7ae4c895ff6bcf65d7c48d7d17,4dc26c0d35e89dfe351afb780264de7bec04179b,388688542832d7589b335dfbda9407d7dabd8b73,0.0,0,0.0,0,4,0,0,1,0,0,1,0,0,34,36953,275.29564582036596,28.847454875111605,48.06105052363811,True,8.0,2013-12-14 07:59:07,2013-12-14 06:32:54,passed,1096.0,[15436538],5,15436538,ruby,ok,,ruby,rspec,True,False,1106.0,0.0,1106.0,37.0,,3.5,,True
15437097,inaturalist/inaturalist,True,2013-12-14 06:10:53,208.0,ruby,merge_button,master,2.0,ec24d1da93b24fca410ffbf081b8ffff66e17d4a#8591bf24fc02cf1c37661eb67c366d60dd54baf7,build_found,4dc26c0d35e89dfe351afb780264de7bec04179b,15429885.0,2013-12-14 06:45:09,6,ec24d1da93b24fca410ffbf081b8ffff66e17d4a,1,ec24d1da93b24fca410ffbf081b8ffff66e17d4a,4dc26c0d35e89dfe351afb780264de7bec04179b,bcaac1d7a733c240c4106d7c2d3bf3e0e46e0e61,0.0,0,0.0,12,0,0,0,2,0,0,1,0,1,3,36953,275.29564582036596,28.847454875111605,48.06105052363811,True,92.0,2013-12-14 08:00:07,2013-12-14 07:11:28,failed,1950.0,"[15437098, 15437099, 15437100]",6,15437099,ruby,ok,,ruby,rspec,True,False,11.0,0.0,11.0,0.0,,0.7,,False
15438046,inaturalist/inaturalist,False,,,ruby,,master,2.0,b0b652e0e1be4d7ae4c895ff6bcf65d7c48d7d17#2fef7e4f9e71fe5d1b18daae96f085431bd3f2ba,merge_found,,,2013-12-14 06:09:13,6,2fef7e4f9e71fe5d1b18daae96f085431bd3f2ba,1,2fef7e4f9e71fe5d1b18daae96f085431bd3f2ba,,2fef7e4f9e71fe5d1b18daae96f085431bd3f2ba,,0,,0,4,0,0,1,0,0,1,0,0,35,36953,275.29564582036596,28.847454875111605,48.06105052363811,True,,2013-12-14 07:59:07,2013-12-14 07:59:51,failed,950.0,[15438047],7,15438047,ruby,broken,,ruby,rspec,True,True,1105.0,1.0,1106.0,37.0,,43.07,,False
15438078,inaturalist/inaturalist,False,,,ruby,,master,2.0,ec24d1da93b24fca410ffbf081b8ffff66e17d4a#8591bf24fc02cf1c37661eb67c366d60dd54baf7,merge_found,,,2013-12-14 06:45:09,6,8591bf24fc02cf1c37661eb67c366d60dd54baf7,1,8591bf24fc02cf1c37661eb67c366d60dd54baf7,,8591bf24fc02cf1c37661eb67c366d60dd54baf7,,0,,12,0,0,0,2,0,0,1,0,1,4,36953,275.29564582036596,28.847454875111605,48.06105052363811,True,,2013-12-14 08:00:07,2013-12-14 08:00:47,passed,1980.0,"[15438079, 15438080, 15438081]",8,15438080,ruby,ok,,ruby,rspec,True,False,11.0,0.0,11.0,0.0,,0.73,,True
15438519,inaturalist/inaturalist,False,,,ruby,,master,1.0,0cbcbbde5e9af97903a37e8d95a555ca3a8c45a1,build_found,8591bf24fc02cf1c37661eb67c366d60dd54baf7,15438078.0,2013-12-14 08:17:05,6,0cbcbbde5e9af97903a37e8d95a555ca3a8c45a1,1,0cbcbbde5e9af97903a37e8d95a555ca3a8c45a1,,0cbcbbde5e9af97903a37e8d95a555ca3a8c45a1,,0,,0,0,0,0,2,0,0,0,0,2,294,36953,275.29564582036596,28.847454875111605,48.06105052363811,True,,2013-12-14 08:17:12,2013-12-14 08:17:52,passed,1696.0,"[15438520, 15438521, 15438522]",9,15438520,ruby,ok,,ruby,rspec,True,False,863.0,0.0,863.0,34.0,,0.15,,True
15541391,inaturalist/inaturalist,True,2013-12-16 17:49:23,209.0,ruby,merge_button,master,2.0,c7720e283f951d740e3e7eb0b540c05c1fb020e3#fec510abb14ef41f958391e1ea79c4d416b8da9a,build_found,0cbcbbde5e9af97903a37e8d95a555ca3a8c45a1,15438519.0,2013-12-16 18:47:16,6,c7720e283f951d740e3e7eb0b540c05c1fb020e3,1,c7720e283f951d740e3e7eb0b540c05c1fb020e3,0cbcbbde5e9af97903a37e8d95a555ca3a8c45a1,e71b9158999d463117704a47403bbc7c768ca7e4,0.0,0,0.0,4,0,0,0,10,0,0,1,6,3,466,36953,275.29564582036596,28.847454875111605,48.06105052363811,True,3.0,2013-12-16 19:19:29,2013-12-16 18:50:23,passed,2445.0,"[15541392, 15541393, 15541394]",10,15541394,ruby,ok,,ruby,rspec,True,False,232.0,0.0,232.0,3.0,,3.95,,True
