tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
5014070,openfoodfoundation/openfoodnetwork,False,,,ruby,,master,,,merge_found,,,,11,e3fdb122895bcd63477b2977252b73f49154a659#b0a665aef7d9183140fde6e1ffe891432e70b00d#3982b2a69086a3533dfb5c4f44c0a41138d74ce6,3,e3fdb122895bcd63477b2977252b73f49154a659,,e3fdb122895bcd63477b2977252b73f49154a659,,0,,1319,97,53,15,44,0,0,94,17,1,236,6168,300.42153047989603,10.3761348897536,42.801556420233496,True,,,2013-02-24 06:36:46,errored,77.0,"[5014071, 5014072]",1,5014072,ruby,unknown,,ruby,,False,,,,,,,,,False
5014216,openfoodfoundation/openfoodnetwork,False,,,ruby,,master,,,build_found,e3fdb122895bcd63477b2977252b73f49154a659,5014070.0,,11,4bcd55959aa6fd3e2e4cca4d026b21653af047d2#719ef386bf522130352041bd1b0b543902c01dee,2,4bcd55959aa6fd3e2e4cca4d026b21653af047d2,,4bcd55959aa6fd3e2e4cca4d026b21653af047d2,,0,,27,0,0,0,3,0,0,2,0,1,69,6168,300.42153047989603,10.3761348897536,42.801556420233496,True,,,2013-02-24 06:52:15,errored,169.0,[5014217],2,5014217,ruby,unknown,,ruby,,False,,,,,,,,,False
5014336,openfoodfoundation/openfoodnetwork,False,,,ruby,,master,,,build_found,4bcd55959aa6fd3e2e4cca4d026b21653af047d2,5014216.0,,11,d60935c800aeb42c365ec20525ced88d7113b064,1,d60935c800aeb42c365ec20525ced88d7113b064,,d60935c800aeb42c365ec20525ced88d7113b064,,0,,3,0,0,0,2,0,0,1,0,1,54,6168,300.42153047989603,10.3761348897536,42.801556420233496,True,,,2013-02-24 07:05:33,errored,137.0,[5014337],3,5014337,ruby,unknown,,ruby,,False,,,,,,,,,False
5014395,openfoodfoundation/openfoodnetwork,False,,,ruby,,master,,,build_found,d60935c800aeb42c365ec20525ced88d7113b064,5014336.0,,11,2b19253895e2995c0a63d3c98464ef3b7c6a570c,1,2b19253895e2995c0a63d3c98464ef3b7c6a570c,,2b19253895e2995c0a63d3c98464ef3b7c6a570c,,0,,7,0,0,0,3,0,0,2,0,1,72,6168,300.42153047989603,10.3761348897536,42.801556420233496,True,,,2013-02-24 07:18:12,failed,197.0,[5014396],4,5014396,ruby,broken,,ruby,,True,False,,0.0,,,,,,False
5014548,openfoodfoundation/openfoodnetwork,False,,,ruby,,master,,,build_found,2b19253895e2995c0a63d3c98464ef3b7c6a570c,5014395.0,,11,3a441cd7d98d14e1523e9589eac258c464dcd604,1,3a441cd7d98d14e1523e9589eac258c464dcd604,,3a441cd7d98d14e1523e9589eac258c464dcd604,,0,,0,0,1,0,1,0,0,0,0,2,4,6168,300.42153047989603,10.3761348897536,42.801556420233496,True,,,2013-02-24 07:46:55,failed,243.0,[5014549],5,5014549,ruby,broken,,ruby,,True,False,,0.0,,,,,,False
5014743,openfoodfoundation/openfoodnetwork,False,,,ruby,,master,,,build_found,3a441cd7d98d14e1523e9589eac258c464dcd604,5014548.0,,11,b030793f153b402670fafd307cb8d303c3193cea,1,b030793f153b402670fafd307cb8d303c3193cea,,b030793f153b402670fafd307cb8d303c3193cea,,0,,14,0,0,0,4,0,0,4,0,0,6,6176,300.032383419689,10.362694300518099,42.7461139896373,True,,,2013-02-24 08:10:07,passed,1007.0,[5014744],6,5014744,ruby,ok,,ruby,rspec,True,True,148.0,11.0,159.0,0.0,,43.4,,True
5014948,openfoodfoundation/openfoodnetwork,False,,,ruby,,master,,,build_found,b030793f153b402670fafd307cb8d303c3193cea,5014743.0,,11,cdc3ab09a18376b9b66b86ea000873cc14998d61,1,cdc3ab09a18376b9b66b86ea000873cc14998d61,,cdc3ab09a18376b9b66b86ea000873cc14998d61,,0,,0,0,0,0,1,0,0,0,0,1,5,6176,300.032383419689,10.362694300518099,42.7461139896373,True,,,2013-02-24 08:43:02,passed,648.0,[5014949],7,5014949,ruby,ok,,ruby,rspec,True,False,159.0,0.0,159.0,0.0,,53.27,,True
5015042,openfoodfoundation/openfoodnetwork,False,,,ruby,,master,,,build_found,cdc3ab09a18376b9b66b86ea000873cc14998d61,5014948.0,,11,72aa8fe5e5f23d4a9551a3710920b23d60ab6cbb,1,72aa8fe5e5f23d4a9551a3710920b23d60ab6cbb,,72aa8fe5e5f23d4a9551a3710920b23d60ab6cbb,,0,,6,0,0,0,1,0,0,1,0,0,3,6179,299.886713060366,10.3576630522738,42.7253600906296,True,,,2013-02-24 08:58:19,failed,495.0,[5015043],8,5015043,ruby,broken,,ruby,rspec,True,True,159.0,1.0,160.0,0.0,,0.61,,False
5015345,openfoodfoundation/openfoodnetwork,False,,,ruby,,master,,,build_found,72aa8fe5e5f23d4a9551a3710920b23d60ab6cbb,5015042.0,,11,bd5533e2b14d14ac53199faf2725ce4696efff16,1,bd5533e2b14d14ac53199faf2725ce4696efff16,,bd5533e2b14d14ac53199faf2725ce4696efff16,,0,,6,0,0,0,1,0,0,1,0,0,4,6176,300.032383419689,10.362694300518099,42.7461139896373,True,,,2013-02-24 09:23:15,passed,523.0,[5015346],9,5015346,ruby,ok,,ruby,rspec,True,False,159.0,0.0,159.0,0.0,,23.45,,True
5333993,openfoodfoundation/openfoodnetwork,False,,,ruby,,order-cycle-selection,,,build_found,bd5533e2b14d14ac53199faf2725ce4696efff16,5015345.0,,11,4b642f8c90ed951f28d9b294fe9f0cbdfc7cfab1#43843f05b14484cb440d7e823519ca8eba5f315d#d02e8fece5e10aa4eed32d6f75ea7e35a9086c68#dd3c72199a9df2ba4d98d163e0ccf0838414a1b7#6d6390b8864f526e3aed0e90346b217127752a1e#5c64e1836034ed863cb4d3b28b603f2c90704297#29a9526b3fcce319e6e22ae5db417702a85c87aa#8e1c9e7bcccbf5838a6aa148b7117fefd25e670f#69392100f92431c36a95b5fd3abd251655585e78#e326e590db5c62ec310bd58076cff73b9d5d5a3c#265336b70cee7f3a69ee8f78bc6f1133af2bec35#1285d507eb374fc99a8dd4f7cad685905c288770#884dbd5de65a211bb43ae2b7d6bf65ec452f15c0#ebf1c8602f8b19d26ce3f65219dfa9e1775b2d0a#dfa94b88aa1bb31822662dd31f5525a59b4c9fd2#fcb1701d36c3463526b3e7e37ec9d13f21b213b3#c0431c614f28a92d943c6959d7b3bee31691d5ff#624a2799aaa1d1fbe0e21f4cb91f36a013056c72#a5c706d694753ec087c76312d15a8515553f1a87#666f110d4774b89665786ccd7d02a5964c7ae5c1#3aa44c3e9a579e16c81a672ec5d67802c149e9dc#e1b24902597c4fb9e0da919f831739e84c7a8a4d#74e2b70d3a9e6259ff3b02798d46ee7c75d5588c#72a9286457d6ddf73828e3391c414ec056c7e61e#456dfcf6dbce6b3cc0389ac6934b352fca4f33a8#34cb8bab26ee6fe1caff9096666935f5c37c7afd#fe824c2d4eedb6c295ed0290635337bd7ef36089#8b5aea42b825039bdb5de20ca6c02c85c856d73c#63f3504b81d7260ad361a7089e2f3838edf3711b,29,4b642f8c90ed951f28d9b294fe9f0cbdfc7cfab1,,4b642f8c90ed951f28d9b294fe9f0cbdfc7cfab1,,0,,305,1281,9,1,28,0,0,26,6,0,214,6289,341.866751470822,13.0386388933058,50.7234854507871,True,,,2013-03-08 04:20:59,failed,1591.0,[5333994],11,5333994,java,broken,,java-ant,,False,,,,,,,,,False
