tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
10832337,sanity/quickml,False,,,java,,master,,,merge_found,,,,7,714c4a38742b12c5883e93d4b0eec85d620eb267#e65b995a77b3ab5dce118a05610cbcf08cd12c54#adb4bdd5a9a26036b8e63347dfd523c70f6f946b#2910904f9239e0cc66ccb58b8344c0a8dcdd7744#fac6ea98b145194c35bb4957f3f751313d282e5d#8509680e04cc18c41e0ec197233560254cff8bc2#8483332092a74f597666d7b03682e1d3efb09738#1a925d7a3fa35907bdcb776af31613429b1a8be0#6a8b6ef649a2b22abb630a3fe6c8cb1139c3dde3#335ca5ae0a4ecb74e4d69b8a60eedcfa3ae01d50#2ab93fb16aa1b81c357b2968cb6d108ab200822c,11,714c4a38742b12c5883e93d4b0eec85d620eb267,,714c4a38742b12c5883e93d4b0eec85d620eb267,,0,,529,4,2,2,7,0,0,9,0,2,71,993,67.472306143001,4.0281973816717,4.0281973816717,False,,,2013-08-31 12:54:07,passed,73.0,[10832338],1,10832338,java,ok,,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,1.42,,True
10832415,sanity/quickml,False,,,java,,master,,,build_found,714c4a38742b12c5883e93d4b0eec85d620eb267,10832337.0,,7,286d0980b67c6774ffec32838cd3bca82f64bc79,1,286d0980b67c6774ffec32838cd3bca82f64bc79,,286d0980b67c6774ffec32838cd3bca82f64bc79,,0,,4,0,0,0,1,0,0,1,0,0,44,993,67.472306143001,4.0281973816717,4.0281973816717,True,,,2013-08-31 12:58:03,passed,73.0,[10832416],2,10832416,java,ok,,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,1.52,,True
10832417,sanity/quickml,False,,,java,,master,,,build_found,286d0980b67c6774ffec32838cd3bca82f64bc79,10832415.0,,7,cae6e8a081abe12a34c197ff770a60fb428d1efb,1,cae6e8a081abe12a34c197ff770a60fb428d1efb,,cae6e8a081abe12a34c197ff770a60fb428d1efb,,0,,4,0,0,0,1,0,0,1,0,0,45,993,67.472306143001,4.0281973816717,4.0281973816717,True,,,2013-08-31 12:58:25,passed,70.0,[10832418],3,10832418,java,ok,,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,1.43,,True
14701094,sanity/quickml,False,,,java,,master,,,merge_found,,,,6,703923c3dd4101b910f2630e82ea9f6ac19739c7,1,703923c3dd4101b910f2630e82ea9f6ac19739c7,,703923c3dd4101b910f2630e82ea9f6ac19739c7,,0,,2,0,0,0,1,0,0,1,0,0,46,1140,58.7719298245614,3.5087719298245603,3.5087719298245603,True,,,2013-11-29 14:22:06,passed,60.0,[14701095],4,14701095,java,ok,,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,2.18,,True
14707063,sanity/quickml,False,,,java,,master,,,build_found,703923c3dd4101b910f2630e82ea9f6ac19739c7,14701094.0,,6,2999722ddda0a8216a2a821bb80eba928026ba51,1,2999722ddda0a8216a2a821bb80eba928026ba51,,2999722ddda0a8216a2a821bb80eba928026ba51,,0,,7,0,0,0,1,0,0,1,0,0,15,1145,58.5152838427948,3.49344978165939,3.49344978165939,True,,,2013-11-29 16:43:31,passed,74.0,[14707064],5,14707064,java,ok,,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,2.74,,True
15344461,sanity/quickml,False,,,java,,master,,,build_found,2999722ddda0a8216a2a821bb80eba928026ba51,14707063.0,,7,1096ed962dbcef81287083d39eaac289fcd4ac1b,1,1096ed962dbcef81287083d39eaac289fcd4ac1b,,1096ed962dbcef81287083d39eaac289fcd4ac1b,,0,,169,0,0,0,2,0,0,1,0,1,29,1169,57.3139435414884,3.4217279726261802,3.4217279726261802,True,,,2013-12-12 14:47:59,passed,59.0,[15344462],6,15344462,java,ok,,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,2.4,,True
16168101,sanity/quickml,False,,,java,,master,,,merge_found,,,,7,7d3a2d913b6b9a7b3e92d66e07fceecb6c2dd373,1,7d3a2d913b6b9a7b3e92d66e07fceecb6c2dd373,,7d3a2d913b6b9a7b3e92d66e07fceecb6c2dd373,,0,,4,0,1,0,3,0,0,2,0,1,37,1170,57.264957264957296,3.41880341880342,3.41880341880342,True,,,2013-12-31 01:20:17,errored,48.0,[16168102],8,16168102,java,unknown,,java-ant,,False,,,,,,,,,False
16184126,sanity/quickml,False,,,java,,master,,,merge_found,,,,7,5732286dc355018cddcb8527e6263c0f699cae86,1,5732286dc355018cddcb8527e6263c0f699cae86,,5732286dc355018cddcb8527e6263c0f699cae86,,0,,0,0,0,0,1,0,0,0,0,1,34,1170,57.264957264957296,3.41880341880342,3.41880341880342,True,,,2013-12-31 12:31:49,passed,53.0,[16184127],10,16184127,java,ok,,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,2.2,,True
16195092,sanity/quickml,False,,,java,,master,,,merge_found,,,,8,babd23c706ddc315c37f1eefa281e07e85f3cbd6,1,babd23c706ddc315c37f1eefa281e07e85f3cbd6,,babd23c706ddc315c37f1eefa281e07e85f3cbd6,,0,,0,0,0,0,0,0,0,0,0,0,0,1099,156.505914467698,3.63967242948135,3.63967242948135,False,,,2013-12-31 17:26:37,passed,58.0,[16195093],12,16195093,java,ok,,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,2.53,,True
16376388,sanity/quickml,False,,,java,,master,,,merge_found,,,,8,5ed56743398d11ba90c95d360fdad56a044b36c3,1,5ed56743398d11ba90c95d360fdad56a044b36c3,,5ed56743398d11ba90c95d360fdad56a044b36c3,,0,,118,69,2,11,6,0,0,7,0,14,93,1102,156.079854809437,3.62976406533575,3.62976406533575,True,,,2014-01-04 17:13:09,passed,67.0,[16376389],13,16376389,java,ok,,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,4.0,,True
16376682,sanity/quickml,False,,,java,,master,,,build_found,5ed56743398d11ba90c95d360fdad56a044b36c3,16376388.0,,8,dcf0f5d9ec5ad099b93296b98059b4a2584a5449,1,dcf0f5d9ec5ad099b93296b98059b4a2584a5449,,dcf0f5d9ec5ad099b93296b98059b4a2584a5449,,0,,4,0,0,0,1,0,0,1,0,0,4,1103,155.938349954669,3.6264732547597496,3.6264732547597496,True,,,2014-01-04 17:22:19,passed,65.0,[16376683],14,16376683,java,ok,,java-maven,junit,True,False,1.0,0.0,1.0,0.0,,4.5,,True
