tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
2685616,square/retrofit,False,,,java,,master,,,merge_found,,,,23,69811ae50ac93a70873bacd0048c42610062e818#4d8fab2840e6978f2c8fe58d0e15ea90baa18ddf,2,69811ae50ac93a70873bacd0048c42610062e818,,69811ae50ac93a70873bacd0048c42610062e818,,0,,12,19,1,0,2,0,0,2,0,1,14,1478,564.9526387009471,25.033829499323396,34.5060893098782,True,,,2012-10-06 06:20:22,failed,92.0,[2685617],1,2685617,java,unknown,,java-ant,,False,,,,,,,,,False
2685692,square/retrofit,False,,,java,,master,,,build_found,69811ae50ac93a70873bacd0048c42610062e818,2685616.0,,23,e1e170f4216576d0f5ef714d099be60c0d3bb4a5,1,e1e170f4216576d0f5ef714d099be60c0d3bb4a5,,e1e170f4216576d0f5ef714d099be60c0d3bb4a5,,0,,0,0,0,0,1,0,0,0,0,1,1,1478,564.9526387009471,25.033829499323396,34.5060893098782,True,,,2012-10-06 06:34:33,failed,143.0,[2685693],2,2685693,java,unknown,,java-maven,junit,True,False,28.0,0.0,28.0,0.0,,0.38,,False
2730012,square/retrofit,False,,,java,,jw/callback-api-stuff,1.0,9b6bd6bbbe752fceaa4517b3eda7cd678679198d,build_found,e1e170f4216576d0f5ef714d099be60c0d3bb4a5,2685692.0,2012-10-10 01:37:47,23,9b6bd6bbbe752fceaa4517b3eda7cd678679198d,1,9b6bd6bbbe752fceaa4517b3eda7cd678679198d,,9b6bd6bbbe752fceaa4517b3eda7cd678679198d,,0,,196,77,1,0,12,0,8,7,0,6,71,1522,589.356110381078,29.5663600525624,38.107752956636,True,,2012-10-10 04:17:48,2012-10-10 04:18:06,failed,122.0,[2730013],6,2730013,java,unknown,,java-maven,junit,True,False,36.0,0.0,36.0,1.0,,0.38,,False
2730015,square/retrofit,True,2012-10-10 02:18:53,60.0,java,merge_button,master,1.0,9b6bd6bbbe752fceaa4517b3eda7cd678679198d,build_found,e1e170f4216576d0f5ef714d099be60c0d3bb4a5,2685692.0,2012-10-10 01:37:47,23,9b6bd6bbbe752fceaa4517b3eda7cd678679198d,1,9b6bd6bbbe752fceaa4517b3eda7cd678679198d,e1e170f4216576d0f5ef714d099be60c0d3bb4a5,bc52205a47f373f3783be11705497dcfc70cdaac,0.0,0,6.0,196,77,1,0,12,0,8,7,0,6,71,1522,589.356110381078,29.5663600525624,38.107752956636,True,39.0,2012-10-10 04:17:48,2012-10-10 04:18:58,failed,115.0,[2730017],7,2730017,java,unknown,,java-maven,junit,True,False,36.0,0.0,36.0,1.0,,0.37,,False
2730202,square/retrofit,False,,,java,,master,2.0,9b6bd6bbbe752fceaa4517b3eda7cd678679198d#45d024065cd3fa37cb49dc56c49016c0f2a9ffc4,merge_found,,,2012-10-10 01:37:47,23,45d024065cd3fa37cb49dc56c49016c0f2a9ffc4,1,45d024065cd3fa37cb49dc56c49016c0f2a9ffc4,,45d024065cd3fa37cb49dc56c49016c0f2a9ffc4,,0,,196,77,1,0,12,0,0,7,0,6,72,1522,589.356110381078,29.5663600525624,38.107752956636,True,,2012-10-10 04:45:02,2012-10-10 04:45:21,failed,133.0,[2730203],8,2730203,java,unknown,,java-maven,junit,True,False,36.0,0.0,36.0,1.0,,0.41,,False
2736725,square/retrofit,False,,,java,,master,1.0,83529d27e44458b65905dc30394057942fb55e72,build_found,45d024065cd3fa37cb49dc56c49016c0f2a9ffc4,2730202.0,2012-10-10 15:26:20,23,83529d27e44458b65905dc30394057942fb55e72,1,83529d27e44458b65905dc30394057942fb55e72,,83529d27e44458b65905dc30394057942fb55e72,,0,,10,0,0,0,1,0,0,1,0,0,2,1522,589.356110381078,29.5663600525624,38.107752956636,True,,2012-10-10 15:26:29,2012-10-10 15:26:53,failed,154.0,[2736726],10,2736726,java,unknown,,java-maven,junit,True,False,36.0,0.0,36.0,1.0,,0.4,,False
2776329,square/retrofit,False,,,java,,jw/javadoc-tweak,,,build_found,83529d27e44458b65905dc30394057942fb55e72,2736725.0,,23,ee0f0f5a725670c2b354946a1eaf95d5b26ae188,1,ee0f0f5a725670c2b354946a1eaf95d5b26ae188,,ee0f0f5a725670c2b354946a1eaf95d5b26ae188,,0,,2,0,0,0,1,0,0,1,0,0,4,1522,589.356110381078,29.5663600525624,38.107752956636,True,,,2012-10-13 17:37:02,failed,147.0,[2776330],11,2776330,java,unknown,,java-maven,junit,True,False,36.0,0.0,36.0,1.0,,0.36,,False
2776331,square/retrofit,True,2012-10-13 15:37:10,61.0,java,merge_button,master,,,build_found,83529d27e44458b65905dc30394057942fb55e72,2736725.0,,23,ee0f0f5a725670c2b354946a1eaf95d5b26ae188,1,ee0f0f5a725670c2b354946a1eaf95d5b26ae188,83529d27e44458b65905dc30394057942fb55e72,464c1470a7ab2f9a9b768dc36c9b3b56d9692215,0.0,0,0.0,2,0,0,0,1,0,0,1,0,0,4,1522,589.356110381078,29.5663600525624,38.107752956636,True,3.0,,2012-10-13 17:37:41,failed,134.0,[2776332],12,2776332,java,unknown,,java-maven,junit,True,False,36.0,0.0,36.0,1.0,,0.39,,False
2776496,square/retrofit,False,,,java,,master,,,merge_found,,,,23,4b39bc02ecdeca41731c62b5f59bbb3d2a12bab8,1,4b39bc02ecdeca41731c62b5f59bbb3d2a12bab8,,4b39bc02ecdeca41731c62b5f59bbb3d2a12bab8,,0,,2,0,0,0,1,0,0,1,0,0,5,1522,589.356110381078,29.5663600525624,38.107752956636,True,,,2012-10-13 18:01:37,failed,141.0,[2776497],13,2776497,java,unknown,,java-maven,junit,True,False,36.0,0.0,36.0,1.0,,0.42,,False
2816613,square/retrofit,False,,,java,,jw/converter,,,build_found,83529d27e44458b65905dc30394057942fb55e72,2736725.0,,23,eea6cc6fd33f50607302593bc20f12db642f489e,1,eea6cc6fd33f50607302593bc20f12db642f489e,,eea6cc6fd33f50607302593bc20f12db642f489e,,0,,564,164,3,1,8,0,3,12,0,0,45,1544,590.025906735751,31.088082901554397,45.3367875647668,True,,,2012-10-16 20:49:19,failed,207.0,[2816614],28,2816614,java,unknown,,java-maven,junit,True,False,39.0,0.0,39.0,1.0,,0.56,,False
2816618,square/retrofit,True,2012-10-13 19:54:44,62.0,java,merge_button,master,,,build_found,83529d27e44458b65905dc30394057942fb55e72,2736725.0,,23,eea6cc6fd33f50607302593bc20f12db642f489e,1,eea6cc6fd33f50607302593bc20f12db642f489e,4b39bc02ecdeca41731c62b5f59bbb3d2a12bab8,af6311e46f88eb924ceb5c17fc2d786ed5540275,3.0,0,0.0,564,164,3,1,8,0,3,12,0,0,45,1544,590.025906735751,31.088082901554397,45.3367875647668,True,28.0,,2012-10-16 20:50:02,failed,165.0,[2816619],29,2816619,java,unknown,,java-maven,junit,True,False,39.0,0.0,39.0,1.0,,0.44,,False
2819697,square/retrofit,False,,,java,,master,,,merge_found,,,,23,25f7e1c70b24e4ca72c4f652f5c7d567b42cf427,1,25f7e1c70b24e4ca72c4f652f5c7d567b42cf427,,25f7e1c70b24e4ca72c4f652f5c7d567b42cf427,,0,,564,164,3,1,8,0,0,12,0,0,46,1544,590.025906735751,31.088082901554397,45.3367875647668,True,,,2012-10-17 02:20:53,failed,142.0,[2819698],30,2819698,java,unknown,,java-maven,junit,True,False,39.0,0.0,39.0,1.0,,0.4,,False
