tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
1241268,rundeck/rundeck,False,,,java,,development,,,merge_found,,,,8,853d962f57721a43dc6178b942f73d210ac82b6a#8f168858dda15be0daf0dc362f10d249b371fd67#d9ec675eed3d5c904830c4809a524ea5daef1d1f#c4f76ae9de6a9702ee77733581d926a99964c00f#75ca555db7891415f256df96ef4948c7b6972fc4#0bc0c51be2d6f122d41c8561cd893eb3838e8287#2a813b91446bf7566fa669443da58155f7c45a6c#160b7acd25b8a626190191274404ca308a307463#95a51f309c7de94df3fd1b8e7e4f60c9f54907f7#1eb09ecb248ff4f72593a132d53c2110d4d8afc2#b67675ed27b9268ce980062d80b8e0cb8794a096#494cfae6240a355e569bff066283ac95fcc76bd4#365c5ae1271b2ed4b39294983e2e45663c92c031#891057865aaa201bca4b4f424103b2accaeb9e8d#55be65d61ae55496740401b4896f85ff0b55ca47#6e9ceac2fcf59dc384172f84b3d9b783787ba00a#b2e0f02545aa2b50fc96ba8dc34d49274b06c1df#08ad3ecf4df001130bc70b25ac8c740657c0979e#c647c527be140dac2e8e9964595b4852bb5e7ee1#fadbc94094b6e7887b53ee983a71f44b19c2fe8e#618df7af98431a59348efd778b9fc8c2506da7ed#965103fd7fee6d4f36a295b7b04bf07612ae3f70#037f62e3da28bb4a1fa0748660ccac332fcf106c#f66acb16fa9c469df9b5b25682b78388910d8497#e29bfdb836ccf602630a9f134a53f33a9e36b92b#14db1072382df0a028ac6237e147e32a5e5b6d57#0b91204303ffb47adee715961467b4fe85eef9a9#d0af04e2342807e81ac98938a021451b4ea35bad#e1cc40af2c815b925ca96992914b7d6402368393#c40007b1ad9f4d0a3940e23f1f16394b86fc32fe#9b7309b55a887e3fa561e173eca0316a3d89025b#dd2ab20257b0703f315ae2256356e55c642c5108#3f110cda89f38291ec9b37dfdcd465c8d22b7f42#d79bb24828c4bb6b56ecc34e6e5a3ac895e34942#bce2924f367c6d8260a5ff0e93454fa6a5cb6af8#349df63c10cffa0e98fbe82d26eb3c4c206981c3#d3be5a68954b1c6e014a43159ff05bbe70cff5be#18c622f25d7beaef2a5d9c4ad15982c43fc86c7d#e544ee3572a00b98a87515bfb38c9101986ba81d#054d4b279ad6009c915ab22d6069c4b1ec1866d7#c41f28018439ce09565626e50c74f8085fe530a3#5166e1402de3b02e1e158b4e5adcfa3ed189f5c7#7884b52ed17e04527a23b13cbc330e930e0cb77f#0eb9a8137f7f0d34a222495fd891efe3d8a34765#10c37b35769eb773e2a5cd0572a89f9b067159d8#873c210b12abce7b3f7c62796af5b413e15f3c79#2f6a5256aaf10bc8a0e55d69000b265c088a2e7f#1de34b700b1c3e9fd828158de2175aa2dd113c94#30d340a9b25c3b7ca65aede17b683c960864da29,49,853d962f57721a43dc6178b942f73d210ac82b6a,,853d962f57721a43dc6178b942f73d210ac82b6a,,0,,2288,402,9,5,93,0,0,75,1,31,622,29001,583.22126823213,0.379297265611531,141.684769490707,True,,,2012-05-04 00:15:26,passed,732.0,[1241269],1,1241269,java,unknown,,java-ant,,False,,,,,,,,,True
1268693,rundeck/rundeck,False,,,java,,development,,,build_found,853d962f57721a43dc6178b942f73d210ac82b6a,1241268.0,,8,39d2be976cffc3690528cf0d06855162f9f8d5a4,1,39d2be976cffc3690528cf0d06855162f9f8d5a4,,39d2be976cffc3690528cf0d06855162f9f8d5a4,,0,,2,0,0,0,1,0,0,1,0,0,29,29001,583.22126823213,0.379297265611531,141.684769490707,True,,,2012-05-07 19:09:04,passed,767.0,[1268694],2,1268694,java,unknown,,java-ant,,False,,,,,,,,,True
1269176,rundeck/rundeck,False,,,java,,development,,,build_found,39d2be976cffc3690528cf0d06855162f9f8d5a4,1268693.0,,8,7bff8a7ee2207ba66471ca4951b184ef38133bf8,1,7bff8a7ee2207ba66471ca4951b184ef38133bf8,,7bff8a7ee2207ba66471ca4951b184ef38133bf8,,0,,53,0,0,0,3,0,0,3,0,0,159,29001,583.22126823213,0.379297265611531,141.684769490707,True,,,2012-05-07 20:05:13,passed,738.0,[1269177],3,1269177,java,unknown,,java-ant,,False,,,,,,,,,True
1290983,rundeck/rundeck,False,,,java,,development,,,build_found,7bff8a7ee2207ba66471ca4951b184ef38133bf8,1269176.0,,8,03a4062209556410dfbe7076a6456fe2388180b4,1,03a4062209556410dfbe7076a6456fe2388180b4,,03a4062209556410dfbe7076a6456fe2388180b4,,0,,3,0,0,0,2,0,0,2,0,0,81,29001,583.22126823213,0.379297265611531,141.684769490707,True,,,2012-05-10 01:16:14,passed,786.0,[1290984],4,1290984,java,unknown,,java-ant,,False,,,,,,,,,True
1310390,rundeck/rundeck,False,,,java,,development,,,build_found,03a4062209556410dfbe7076a6456fe2388180b4,1290983.0,,8,488b2bc4dec17e918788d20ecb50105b17ef096a,1,488b2bc4dec17e918788d20ecb50105b17ef096a,,488b2bc4dec17e918788d20ecb50105b17ef096a,,0,,292,0,0,0,6,0,0,6,0,0,207,29001,583.22126823213,0.379297265611531,141.684769490707,True,,,2012-05-11 23:49:07,passed,841.0,[1310391],5,1310391,java,unknown,,java-ant,,False,,,,,,,,,True
1341274,rundeck/rundeck,False,,,java,,development,,,build_found,488b2bc4dec17e918788d20ecb50105b17ef096a,1310390.0,,8,02168b9ee48691837c18615781260ae20a1be9ac#ec5ec829a77ceeb98911fd21a0dd6adbc5e7d146,2,02168b9ee48691837c18615781260ae20a1be9ac,,02168b9ee48691837c18615781260ae20a1be9ac,,0,,130,69,0,0,13,0,0,13,0,0,2,29077,583.278880214603,0.3783058774976789,141.623963957767,True,,,2012-05-15 23:59:55,passed,808.0,[1341275],6,1341275,java,unknown,,java-ant,,False,,,,,,,,,True
1347811,rundeck/rundeck,False,,,java,,development,,,build_found,02168b9ee48691837c18615781260ae20a1be9ac,1341274.0,,8,05d4b408378feebb4399a0bbe61b7f84ea3c6358#56731443fd3fad1437cce7645366b0e8300cfa19,2,05d4b408378feebb4399a0bbe61b7f84ea3c6358,,05d4b408378feebb4399a0bbe61b7f84ea3c6358,,0,,242,0,1,0,9,0,0,10,0,0,5,29158,581.658549969134,0.377254955758282,141.230537073873,True,,,2012-05-16 17:18:51,passed,729.0,[1347812],7,1347812,java,unknown,,java-ant,,False,,,,,,,,,True
1347958,rundeck/rundeck,False,,,java,,development,,,build_found,05d4b408378feebb4399a0bbe61b7f84ea3c6358,1347811.0,,8,8bfa61a66f51fc875ae89eebf8184f6d9022fda1,1,8bfa61a66f51fc875ae89eebf8184f6d9022fda1,,8bfa61a66f51fc875ae89eebf8184f6d9022fda1,,0,,5,0,0,0,1,0,0,1,0,0,4,29158,581.658549969134,0.377254955758282,141.230537073873,True,,,2012-05-16 17:39:05,passed,832.0,[1347959],8,1347959,java,unknown,,java-ant,,False,,,,,,,,,True
1347991,rundeck/rundeck,False,,,java,,development,,,build_found,8bfa61a66f51fc875ae89eebf8184f6d9022fda1,1347958.0,,8,930f15a248a062146d2ec940bcf3457ca8d7ae9a#33b64f810d758f3084f535652695156b6fca50ea,2,930f15a248a062146d2ec940bcf3457ca8d7ae9a,,930f15a248a062146d2ec940bcf3457ca8d7ae9a,,0,,26,0,0,0,17,0,0,2,0,15,124,29158,581.658549969134,0.377254955758282,141.230537073873,True,,,2012-05-16 17:47:53,passed,843.0,[1347992],9,1347992,java,unknown,,java-ant,,False,,,,,,,,,True
1351122,rundeck/rundeck,False,,,java,,development,,,build_found,930f15a248a062146d2ec940bcf3457ca8d7ae9a,1347991.0,,8,ca7a1b9ab664c4ed4aa25a4f6171a07265f80b76,1,ca7a1b9ab664c4ed4aa25a4f6171a07265f80b76,,ca7a1b9ab664c4ed4aa25a4f6171a07265f80b76,,0,,17,0,0,0,3,0,0,3,0,0,110,29158,581.658549969134,0.377254955758282,141.230537073873,True,,,2012-05-17 00:18:21,passed,721.0,[1351123],10,1351123,java,unknown,,java-ant,,False,,,,,,,,,True
