tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
1113794,sensu/sensu,False,,,ruby,,master,2.0,1669e758c9f3d29fc4003cba7a34637264bbdbe4#eebaf1bbd7a509250275d4e58b5c155b7663f2f5,merge_found,,,2012-04-16 17:38:08,8,eebaf1bbd7a509250275d4e58b5c155b7663f2f5,1,eebaf1bbd7a509250275d4e58b5c155b7663f2f5,,eebaf1bbd7a509250275d4e58b5c155b7663f2f5,,0,,0,0,0,0,1,0,0,0,0,0,75,2726,174.61482024945,11.0051357300073,21.276595744680897,True,,2012-04-16 17:39:14,2012-04-17 17:51:18,passed,160.0,"[1113797, 1113795, 1113796]",1,1113795,ruby,unknown,,ruby,,True,False,0.0,0.0,,0.0,,9.5,,True
1114766,sensu/sensu,False,,,ruby,,master,2.0,5c19c1d5aee2ead4e69d5c5bc75aa293a50223dd#f31b6d44d5a2958b110b70733511af40856484b9,merge_found,,,2012-04-17 19:45:39,8,f31b6d44d5a2958b110b70733511af40856484b9,1,f31b6d44d5a2958b110b70733511af40856484b9,,f31b6d44d5a2958b110b70733511af40856484b9,,0,,0,0,0,0,1,0,0,0,0,0,77,2726,174.61482024945,11.0051357300073,21.276595744680897,True,,2012-04-17 19:48:57,2012-04-17 19:49:04,failed,152.0,"[1114769, 1114768, 1114767]",2,1114768,ruby,unknown,,ruby,,True,False,0.0,0.0,,0.0,,9.2,,False
1115534,sensu/sensu,False,,,ruby,,master,2.0,ed2e0501691b750c23206503ae98fe338bbf918a#b0858546e718c1a8217b4b2401b6bd53b56703b1,merge_found,,,2012-04-17 21:05:21,8,b0858546e718c1a8217b4b2401b6bd53b56703b1,1,b0858546e718c1a8217b4b2401b6bd53b56703b1,,b0858546e718c1a8217b4b2401b6bd53b56703b1,,0,,0,2,0,0,1,0,0,1,0,0,2,2726,174.61482024945,11.0051357300073,21.276595744680897,True,,2012-04-17 21:06:16,2012-04-17 21:17:59,passed,186.0,"[1115537, 1115536, 1115535]",3,1115535,ruby,unknown,,ruby,,True,False,0.0,0.0,,0.0,,11.31,,True
1116095,sensu/sensu,False,,,ruby,,master,,,merge_found,,,,8,273bb2a4d61df634c816ab03e05f62dc9ba980c9,1,273bb2a4d61df634c816ab03e05f62dc9ba980c9,,273bb2a4d61df634c816ab03e05f62dc9ba980c9,,0,,0,0,0,0,1,0,0,0,0,0,79,2726,174.61482024945,11.0051357300073,21.276595744680897,True,,,2012-04-17 22:36:41,passed,156.0,"[1116096, 1116097, 1116098]",4,1116096,ruby,unknown,,ruby,,True,False,0.0,0.0,,0.0,,10.89,,True
1168227,sensu/sensu,False,,,ruby,,master,3.0,9ddba5cac7ecec43b5ba2ff71af9fe9955c5d2f9#ca4bf17adf7f33c35a64c1fe5ac75c924409dccf#f03f699267b054ce242275a4f500e70e605eae28,merge_found,,,2012-04-24 22:46:51,8,f03f699267b054ce242275a4f500e70e605eae28,1,f03f699267b054ce242275a4f500e70e605eae28,,f03f699267b054ce242275a4f500e70e605eae28,,0,,7,6,0,0,2,0,0,4,0,0,175,2725,175.412844036697,11.009174311926598,21.2844036697248,True,,2012-04-24 23:28:13,2012-04-24 23:28:12,passed,155.0,"[1168230, 1168229, 1168228]",5,1168230,ruby,unknown,,ruby,,True,False,,0.0,,,,,,True
1220478,sensu/sensu,False,,,ruby,,master,2.0,ca0afcc4c9daec99935b05ba6fb522e0f7834199#a17c389d14c877a99cfe36b229705133b1c0b6f6,merge_found,,,2012-05-01 17:08:24,8,a17c389d14c877a99cfe36b229705133b1c0b6f6,1,a17c389d14c877a99cfe36b229705133b1c0b6f6,,a17c389d14c877a99cfe36b229705133b1c0b6f6,,0,,130,16,1,0,3,0,0,4,0,0,220,2751,175.209014903671,10.9051254089422,21.4467466375863,True,,2012-05-01 17:37:50,2012-05-01 17:37:55,passed,145.0,"[1220481, 1220479, 1220480]",6,1220481,ruby,unknown,,ruby,,True,False,,0.0,,,,,,True
1220659,sensu/sensu,False,,,ruby,,master,2.0,e990145e17e9c31b0bc1ef29d189b254afdb886a#3818b5ab8b5ff60f0d573c0f15dffeeb9a2fa09c,merge_found,,,2012-05-01 17:51:50,8,3818b5ab8b5ff60f0d573c0f15dffeeb9a2fa09c,1,3818b5ab8b5ff60f0d573c0f15dffeeb9a2fa09c,,3818b5ab8b5ff60f0d573c0f15dffeeb9a2fa09c,,0,,104,0,0,0,5,0,0,5,0,0,419,2742,175.78409919766602,10.9409190371991,21.517140773158303,True,,2012-05-01 18:05:33,2012-05-01 18:05:59,passed,144.0,"[1220660, 1220662, 1220661]",7,1220662,ruby,unknown,,ruby,,True,False,,0.0,,,,,,True
1220713,sensu/sensu,False,,,ruby,,master,4.0,96330117b7265292de94c47796dc6d072a3fb73b#c7fc911ac499bdebd20cbc91e71e9b1c962f1476#4b46e4e688966394755aa4954e90c682c97b30fe#522fd72a0ced2c684ddcfc0b73a499673c1b0767,merge_found,,,2012-05-01 17:26:53,8,522fd72a0ced2c684ddcfc0b73a499673c1b0767,1,522fd72a0ced2c684ddcfc0b73a499673c1b0767,,522fd72a0ced2c684ddcfc0b73a499673c1b0767,,0,,95,0,2,1,3,0,0,6,0,0,257,2766,174.258857556038,10.8459869848156,21.330441070137397,True,,2012-05-01 18:14:27,2012-05-01 18:14:33,passed,152.0,"[1220715, 1220714, 1220716]",8,1220715,ruby,unknown,,ruby,,True,False,0.0,0.0,,0.0,,10.58,,True
1220807,sensu/sensu,False,,,ruby,,master,2.0,df4212c3665d9008b1125de46c933b0d534771cd#f0e75d268e680ed1a79c8d7d9001b7a3a55839f7,merge_found,,,2012-05-01 18:28:25,8,f0e75d268e680ed1a79c8d7d9001b7a3a55839f7,1,f0e75d268e680ed1a79c8d7d9001b7a3a55839f7,,f0e75d268e680ed1a79c8d7d9001b7a3a55839f7,,0,,73,2,1,0,5,0,0,3,0,3,197,2771,173.944424395525,10.826416456153,21.291952363767603,True,,2012-05-01 18:29:49,2012-05-01 18:29:54,passed,134.0,"[1220809, 1220808, 1220810]",9,1220810,ruby,unknown,,ruby,,True,False,,0.0,,,,,,True
1221343,sensu/sensu,False,,,ruby,,master,5.0,ba746b856e3470444ed7be9727b88e3a650451d3#35448b9aa490796b5f9e67656969895050614f48#2b815fc1c0eb3bbb45b037fad73825beee0f4500#5cbab3fbc4d9e2c6d2c428db3dbc6e57f31acad8#007c3659d0966439f62113e6bc0fc495e7d8ae16,merge_found,,,2012-05-01 18:50:31,8,007c3659d0966439f62113e6bc0fc495e7d8ae16,1,007c3659d0966439f62113e6bc0fc495e7d8ae16,,007c3659d0966439f62113e6bc0fc495e7d8ae16,,0,,430,0,1,0,5,0,0,5,0,1,402,2834,170.077628793225,10.5857445306987,20.818630910374,True,,2012-05-01 19:25:06,2012-05-01 19:25:12,passed,177.0,"[1221344, 1221345, 1221346]",10,1221344,ruby,unknown,,ruby,,True,False,0.0,0.0,,0.0,,10.89,,True
