tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
14227021,sul-dlss/spotlight,False,,,ruby,,master,1.0,94c9dfa11c8f6d3dc1fe875c5c2301240d7dc9cb,build_found,8940fe0a642793015b679d16b105a7e21a3eded7,,2013-11-19 19:59:48,7,94c9dfa11c8f6d3dc1fe875c5c2301240d7dc9cb,1,94c9dfa11c8f6d3dc1fe875c5c2301240d7dc9cb,,94c9dfa11c8f6d3dc1fe875c5c2301240d7dc9cb,,0,,176,15,19,0,2,0,0,15,2,4,1,44,227.27272727272702,0.0,0.0,True,,2013-11-19 23:53:58,2013-11-19 23:54:46,passed,289.0,[14227022],6,14227022,java,ok,,java-ant,,False,,,,,,,,,True
17777318,sul-dlss/spotlight,False,,,ruby,,sir-trevor,,,build_found,94c9dfa11c8f6d3dc1fe875c5c2301240d7dc9cb,14227021.0,,8,3e91dba457a0d99e83425b6fd4930c1a1c4d468d#6f1805aad45b787a9c4f3a883624759ed4020627#170b013075cbc2902428ddadf91e97f365a3456c#c1775ebb2e03f645a526e36e3bbaa4a5efadafd2,4,3e91dba457a0d99e83425b6fd4930c1a1c4d468d,,3e91dba457a0d99e83425b6fd4930c1a1c4d468d,,0,,368,316,39,0,13,0,0,31,17,3,1,214,1093.4579439252302,93.4579439252336,149.532710280374,True,,,2014-01-28 16:34:03,passed,738.0,"[17777319, 17777320, 17777321]",32,17777320,java,ok,,java-ant,,False,,,,,,,,,True
17778219,sul-dlss/spotlight,False,,,ruby,,master,,,merge_found,,,,8,cff3d8f32d8b731a36b9d7700d0279929a656246,1,cff3d8f32d8b731a36b9d7700d0279929a656246,,cff3d8f32d8b731a36b9d7700d0279929a656246,,0,,368,316,39,0,12,0,0,31,17,3,5,214,1093.4579439252302,93.4579439252336,149.532710280374,True,,,2014-01-28 16:46:51,passed,622.0,"[17778220, 17778221, 17778222]",34,17778222,java,ok,,java-ant,,False,,,,,,,,,True
17778739,sul-dlss/spotlight,False,,,ruby,,master,,,build_found,cff3d8f32d8b731a36b9d7700d0279929a656246,17778219.0,,8,4412feaa5a4b86f60adfc4cb49bcdf87f23e0704,1,4412feaa5a4b86f60adfc4cb49bcdf87f23e0704,,4412feaa5a4b86f60adfc4cb49bcdf87f23e0704,,0,,41,0,0,0,3,0,0,2,0,0,4,214,1093.4579439252302,93.4579439252336,149.532710280374,True,,,2014-01-28 16:56:40,passed,607.0,"[17778740, 17778741, 17778742]",35,17778740,java,ok,,java-ant,,False,,,,,,,,,True
17792171,sul-dlss/spotlight,False,,,ruby,,master,,,build_found,4412feaa5a4b86f60adfc4cb49bcdf87f23e0704,17778739.0,,9,1c1c2f80056852f12d012b7ac5bc599a836a772c,1,1c1c2f80056852f12d012b7ac5bc599a836a772c,,1c1c2f80056852f12d012b7ac5bc599a836a772c,,0,,4,0,0,0,1,0,0,1,0,0,3,214,1093.4579439252302,93.4579439252336,149.532710280374,True,,,2014-01-28 20:43:53,passed,698.0,"[17792172, 17792173, 17792174]",38,17792172,java,ok,,java-ant,,False,,,,,,,,,True
17792335,sul-dlss/spotlight,False,,,ruby,,v0.1.0,,,build_found,4412feaa5a4b86f60adfc4cb49bcdf87f23e0704,17778739.0,,9,1c1c2f80056852f12d012b7ac5bc599a836a772c,1,1c1c2f80056852f12d012b7ac5bc599a836a772c,,1c1c2f80056852f12d012b7ac5bc599a836a772c,,0,,4,0,0,0,1,0,0,1,0,0,3,214,1093.4579439252302,93.4579439252336,149.532710280374,True,,,2014-01-28 20:48:02,passed,590.0,"[17792336, 17792337, 17792338]",39,17792338,java,ok,,java-ant,,False,,,,,,,,,True
17793282,sul-dlss/spotlight,False,,,ruby,,exhibits,,,build_found,4412feaa5a4b86f60adfc4cb49bcdf87f23e0704,17778739.0,,9,d6d644c97a553ab4a3ec52bb37681a9839e30a61,1,d6d644c97a553ab4a3ec52bb37681a9839e30a61,,d6d644c97a553ab4a3ec52bb37681a9839e30a61,,0,,100,91,14,0,8,0,0,20,1,1,4,275,1123.63636363636,83.6363636363636,138.18181818181802,True,,,2014-01-28 20:58:31,passed,757.0,"[17793283, 17793284, 17793285]",40,17793283,java,ok,,java-ant,,False,,,,,,,,,True
17800139,sul-dlss/spotlight,False,,,ruby,,master,,,merge_found,,,,9,b9adff16d737336e08ae037f43b4d6cf83e0d667,1,b9adff16d737336e08ae037f43b4d6cf83e0d667,,b9adff16d737336e08ae037f43b4d6cf83e0d667,,0,,100,91,14,0,8,0,0,20,1,1,5,275,1123.63636363636,83.6363636363636,138.18181818181802,True,,,2014-01-28 22:42:14,passed,688.0,"[17800140, 17800141, 17800142]",42,17800140,java,ok,,java-ant,,False,,,,,,,,,True
17801024,sul-dlss/spotlight,False,,,ruby,,user_module,,,build_found,b9adff16d737336e08ae037f43b4d6cf83e0d667,17800139.0,,9,16344863c8cc9defba4a4b3c168013a49155820e,1,16344863c8cc9defba4a4b3c168013a49155820e,,16344863c8cc9defba4a4b3c168013a49155820e,,0,,8,0,1,0,1,0,0,2,0,0,5,281,1099.64412811388,81.8505338078292,135.231316725979,True,,,2014-01-28 22:56:42,passed,622.0,"[17801025, 17801026, 17801027]",43,17801025,java,ok,,java-ant,,False,,,,,,,,,True
17801240,sul-dlss/spotlight,False,,,ruby,,master,,,merge_found,,,,9,b7dd1c7861d6293b4abd0c350be8485789e88f2c,1,b7dd1c7861d6293b4abd0c350be8485789e88f2c,,b7dd1c7861d6293b4abd0c350be8485789e88f2c,,0,,8,0,1,0,1,0,0,2,0,0,6,281,1099.64412811388,81.8505338078292,135.231316725979,True,,,2014-01-28 23:02:01,passed,662.0,"[17801241, 17801242, 17801243]",45,17801241,java,ok,,java-ant,,False,,,,,,,,,True
