tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
276808,thoughtbot/suspenders,False,,,ruby,,master,,,merge_found,,,,32,34b5429f76da54c4f669be34a8f81684d28bd9ba#0e7d8f8a1dabc7a8e3836a5901f0288de803cad5#50f4a2e12fd69e8a74a7b8d5326750b0b12f6e2f#cd83855a1563fcbea15aeece375a6f18805670ec#b91ea65c1885e3198fd05ae4622ef09fe00b6143#637427d45a2c57f19603aaa19d2e064a6a2bb573#a0225bdd5a246464e5b959bc3b2902cac8b06286#f3dca30b6f8445509673b3df68c62f2c2a27d09e#01e76e5c798934df81dd12c6c530902638a485c5#d900182e32dc5c32c7d4b86edccc275e010acf44#1eec3cc777c80efeffff0261e8dd30696172c699#3131d45612a6bdc9617eebe6c730ea9bc94f1c6e#64369338d2fb55240e393c1ae7ee72bca712f90c#518f4d8dd34fe79d1b9f6a10ae9d33af424ae9e8#bcfb05e58ef4fdc7e62e9dcb361a852461117652#d99d7f3107549f45e28516032ecf43c99c6821a6#d7a74c2a98cc303b277d9917704839a2757de4e4#b4a74c9750acb396d38578899a8f9f3ccbaba50c#c3dd8abe4d5c49a617c0c3db7e219fc4484bc88c#fcbe87c857b79583c3521ba8ac5ed7860ae262b8#70887f84586225f136d5cba177e5a423ba6ef1d9#e097c00aee4aa3c1d1da4f2bea984d6add3e68a2#68f4a1c63741be7259f2cee9d66f2f896ecefb72#44190e84127c0460ffdbe227848f9ad49af539f4#6f677b9fd9ec327dfba8f05648e7832adb01dad7#470e642e943f51c18933ce73edb49161f73b34e9#1969445a3ad02a369625aebdf66907c883bb400d#713e714ebdb7ad6026c8ed388e5841a400c3e3b6#385dd5b80e5fa73cf118f64105df2405a2351e24#4a5c154fc2ce78f1779dbbe461934478126b34a8#244b944eecd923de56de64705fffe26048cb681d#064b1e6107124dbbd39c24a8768a248a297197da#07602fa6ff844c0578914bfd098e252413f1d051#ce1b1911fa0b372f66f55abbe7952124e675d087#2b2c6ec78dc4a7a85966db3adc9506db6387acdd#c27af6f685bccccb6f8da238514c5ec7c032f162#517f0c33597789f790fc5b55790f0650aaa6d6fe#9900d1590bfd5ec16960fc0942277155d4f2af25#91ec5a816da5f56f63b15c463e81b3b3391038fb#4bab3f0fbc88f9de87258b347eb279a2b558661d#9be97e7ea1e160257c8c295bdc6d1175ab41147a#4c789266203a5f0be0c0913561f40045e9c619ed#e2a8f472ecbe21ebd9ffa27cb97dc85d9d881a00#56fd39e5a0c7d31b377d5fe941fc718655885e86#6c2d39f719d80d5818c6e28c233e920ffe41a01c#45faf41fb5ec32b36d222195841a1b91ce2c3e46#552c654b2a2198359f69c9f499e3083555589a52#0504fa22a48e0fd273dfacaa42c6f137718a961b#40250296ef87c83392f78d623c2d48758b024098#0f5f1947be387120fed3c66e156650ec6cb41f55#d82e98f0c00b1021e418d589d6988a6435fc4cfd#a4ce3e7c9f561f3f9ef157b5d9784f9b7d63c957#c760a33e47bf4728776988677e44be01fd6ad031#6def3d70a9ea13288508f4722740a7c4e17e69cc#d490b368575589c2355096378b417f19b23f58f0#10ac09a78309a82864eda4c7b26b1584e810a595#97881fc594082d2a301819758d346716cebc9421#db08366e5ea815e2b40aee6c56e50a12f4d5e997#e0bab837ab7fbaab4af764791b86659793b73349#354321d8820b447c4f638c2e36939cdf33299fff#c8f8c85e5e6f8290c92e6744aa6d977bb0aa5be2#be2621136d5ab7817dc12e1ead8208091be36ced#94010c2e254ad1dfa5f04eb46bd138c4f747dd05#3f06a6525b7840da3fee1cca2a1ad244fb325b5c#b8ad54562bdf725a8179aa9e5aa466dc64bd6057#c9950d978e964282c6406b23c8fc7d3277717fcb#d27f47c647086a6c3cf2f83ceaf08bf98d9c904c#e16029c07e61dfad3999c3fb0cdbe6e7c5c14723#e2326d48cbecb3cbbfa7d1f6c2e2b61ae2a8a6fb#6e8e238274c0ad92918d24095d2afe730a8e9007#872ff64a3330acee6f0663221d30a5d6e7a8a1db#6e429c50a3c39715f0cafd2ce3cafc8beb100063#4fc3979a89de05efcaead3d7c5bb5094e8d326c0#a57c975d7314faacb5b1d19921dcf64a967dd25b#bc8bea1a8cf1a88654d810bc547fafafcb8f87ee#bbcfa8b92b46b8e1b3d9164d589099de11d2ebb7#09328299025f403d2a495ee6339e991d4a2f6f7c#ae96481466eec15bd233e0d9cec356e78132df1f#397675a24e88efbacffe306bde25c0c831a6dc81#2cf556b638839ca740c9628a9b83fbf670ab594f#7bb52368399c7da9e352ec05d4eedd6d48c631fc#28b2f935c3d3b8997b820c79364a33ae9f315732,82,34b5429f76da54c4f669be34a8f81684d28bd9ba,,34b5429f76da54c4f669be34a8f81684d28bd9ba,,0,,1656,0,45,6,22,0,0,33,11,17,112,432,0.0,0.0,0.0,False,,,2011-11-04 19:06:37,failed,98.0,[276809],1,276809,ruby,unknown,,ruby,cucumber,True,True,0.0,4.0,4.0,0.0,features/creating_a_heroku_app.feature#features/rake_clean.feature#features/rake_clean.feature#features/skipping_clearance.feature,3.21,,False
276811,thoughtbot/suspenders,False,,,ruby,,master,,,merge_found,,,,32,34b5429f76da54c4f669be34a8f81684d28bd9ba#0e7d8f8a1dabc7a8e3836a5901f0288de803cad5#50f4a2e12fd69e8a74a7b8d5326750b0b12f6e2f#cd83855a1563fcbea15aeece375a6f18805670ec#b91ea65c1885e3198fd05ae4622ef09fe00b6143#637427d45a2c57f19603aaa19d2e064a6a2bb573#a0225bdd5a246464e5b959bc3b2902cac8b06286#f3dca30b6f8445509673b3df68c62f2c2a27d09e#01e76e5c798934df81dd12c6c530902638a485c5#d900182e32dc5c32c7d4b86edccc275e010acf44#1eec3cc777c80efeffff0261e8dd30696172c699#3131d45612a6bdc9617eebe6c730ea9bc94f1c6e#64369338d2fb55240e393c1ae7ee72bca712f90c#518f4d8dd34fe79d1b9f6a10ae9d33af424ae9e8#bcfb05e58ef4fdc7e62e9dcb361a852461117652#d99d7f3107549f45e28516032ecf43c99c6821a6#d7a74c2a98cc303b277d9917704839a2757de4e4#b4a74c9750acb396d38578899a8f9f3ccbaba50c#c3dd8abe4d5c49a617c0c3db7e219fc4484bc88c#fcbe87c857b79583c3521ba8ac5ed7860ae262b8#70887f84586225f136d5cba177e5a423ba6ef1d9#e097c00aee4aa3c1d1da4f2bea984d6add3e68a2#68f4a1c63741be7259f2cee9d66f2f896ecefb72#44190e84127c0460ffdbe227848f9ad49af539f4#6f677b9fd9ec327dfba8f05648e7832adb01dad7#470e642e943f51c18933ce73edb49161f73b34e9#1969445a3ad02a369625aebdf66907c883bb400d#713e714ebdb7ad6026c8ed388e5841a400c3e3b6#385dd5b80e5fa73cf118f64105df2405a2351e24#4a5c154fc2ce78f1779dbbe461934478126b34a8#244b944eecd923de56de64705fffe26048cb681d#064b1e6107124dbbd39c24a8768a248a297197da#07602fa6ff844c0578914bfd098e252413f1d051#ce1b1911fa0b372f66f55abbe7952124e675d087#2b2c6ec78dc4a7a85966db3adc9506db6387acdd#c27af6f685bccccb6f8da238514c5ec7c032f162#517f0c33597789f790fc5b55790f0650aaa6d6fe#9900d1590bfd5ec16960fc0942277155d4f2af25#91ec5a816da5f56f63b15c463e81b3b3391038fb#4bab3f0fbc88f9de87258b347eb279a2b558661d#9be97e7ea1e160257c8c295bdc6d1175ab41147a#4c789266203a5f0be0c0913561f40045e9c619ed#e2a8f472ecbe21ebd9ffa27cb97dc85d9d881a00#56fd39e5a0c7d31b377d5fe941fc718655885e86#6c2d39f719d80d5818c6e28c233e920ffe41a01c#45faf41fb5ec32b36d222195841a1b91ce2c3e46#552c654b2a2198359f69c9f499e3083555589a52#0504fa22a48e0fd273dfacaa42c6f137718a961b#40250296ef87c83392f78d623c2d48758b024098#0f5f1947be387120fed3c66e156650ec6cb41f55#d82e98f0c00b1021e418d589d6988a6435fc4cfd#a4ce3e7c9f561f3f9ef157b5d9784f9b7d63c957#c760a33e47bf4728776988677e44be01fd6ad031#6def3d70a9ea13288508f4722740a7c4e17e69cc#d490b368575589c2355096378b417f19b23f58f0#10ac09a78309a82864eda4c7b26b1584e810a595#97881fc594082d2a301819758d346716cebc9421#db08366e5ea815e2b40aee6c56e50a12f4d5e997#e0bab837ab7fbaab4af764791b86659793b73349#354321d8820b447c4f638c2e36939cdf33299fff#c8f8c85e5e6f8290c92e6744aa6d977bb0aa5be2#be2621136d5ab7817dc12e1ead8208091be36ced#94010c2e254ad1dfa5f04eb46bd138c4f747dd05#3f06a6525b7840da3fee1cca2a1ad244fb325b5c#b8ad54562bdf725a8179aa9e5aa466dc64bd6057#c9950d978e964282c6406b23c8fc7d3277717fcb#d27f47c647086a6c3cf2f83ceaf08bf98d9c904c#e16029c07e61dfad3999c3fb0cdbe6e7c5c14723#e2326d48cbecb3cbbfa7d1f6c2e2b61ae2a8a6fb#6e8e238274c0ad92918d24095d2afe730a8e9007#872ff64a3330acee6f0663221d30a5d6e7a8a1db#6e429c50a3c39715f0cafd2ce3cafc8beb100063#4fc3979a89de05efcaead3d7c5bb5094e8d326c0#a57c975d7314faacb5b1d19921dcf64a967dd25b#bc8bea1a8cf1a88654d810bc547fafafcb8f87ee#bbcfa8b92b46b8e1b3d9164d589099de11d2ebb7#09328299025f403d2a495ee6339e991d4a2f6f7c#ae96481466eec15bd233e0d9cec356e78132df1f#397675a24e88efbacffe306bde25c0c831a6dc81#2cf556b638839ca740c9628a9b83fbf670ab594f#7bb52368399c7da9e352ec05d4eedd6d48c631fc#28b2f935c3d3b8997b820c79364a33ae9f315732,82,34b5429f76da54c4f669be34a8f81684d28bd9ba,,34b5429f76da54c4f669be34a8f81684d28bd9ba,,0,,1656,0,45,6,22,0,0,33,11,17,112,432,0.0,0.0,0.0,False,,,2011-11-04 19:06:59,failed,100.0,[276812],2,276812,ruby,unknown,,ruby,cucumber,True,True,0.0,4.0,4.0,0.0,features/creating_a_heroku_app.feature#features/rake_clean.feature#features/rake_clean.feature#features/skipping_clearance.feature,3.01,,False
276817,thoughtbot/suspenders,False,,,ruby,,master,,,build_found,34b5429f76da54c4f669be34a8f81684d28bd9ba,276811.0,,32,7b1c1de24bbd546e53b7bb2354ef35f3370cd46a,1,7b1c1de24bbd546e53b7bb2354ef35f3370cd46a,,7b1c1de24bbd546e53b7bb2354ef35f3370cd46a,,0,,0,0,1,0,0,0,0,0,0,1,0,432,0.0,0.0,0.0,True,,,2011-11-04 19:18:03,failed,95.0,[276818],3,276818,java,unknown,,java-ant,,False,,,,,,,,,False
276820,thoughtbot/suspenders,False,,,ruby,,master,,,build_found,7b1c1de24bbd546e53b7bb2354ef35f3370cd46a,276817.0,,32,cca000deef06473295ab37a0069cc9c2322b8e86,1,cca000deef06473295ab37a0069cc9c2322b8e86,,cca000deef06473295ab37a0069cc9c2322b8e86,,0,,0,0,0,0,1,0,0,0,0,1,1,432,0.0,0.0,0.0,True,,,2011-11-04 19:20:15,failed,104.0,[276821],4,276821,java,unknown,,java-ant,,False,,,,,,,,,False
276904,thoughtbot/suspenders,False,,,ruby,,hg-ci_fix,,,build_found,cca000deef06473295ab37a0069cc9c2322b8e86,276820.0,,32,7e06fe7a1ebc5f3eaeccde3dda7434bbef93aac4,1,7e06fe7a1ebc5f3eaeccde3dda7434bbef93aac4,,7e06fe7a1ebc5f3eaeccde3dda7434bbef93aac4,,0,,10,0,0,0,1,0,0,1,0,0,12,437,0.0,0.0,0.0,True,,,2011-11-04 20:30:57,failed,572.0,[276905],5,276905,ruby,unknown,,ruby,cucumber,True,True,1.0,3.0,4.0,0.0,features/creating_a_heroku_app.feature#features/rake_clean.feature#features/rake_clean.feature,477.4,,False
276914,thoughtbot/suspenders,False,,,ruby,,master,,,build_found,cca000deef06473295ab37a0069cc9c2322b8e86,276820.0,,32,7e06fe7a1ebc5f3eaeccde3dda7434bbef93aac4,1,7e06fe7a1ebc5f3eaeccde3dda7434bbef93aac4,,7e06fe7a1ebc5f3eaeccde3dda7434bbef93aac4,,0,,10,0,0,0,1,0,0,1,0,0,12,437,0.0,0.0,0.0,True,,,2011-11-04 20:46:32,failed,556.0,[276915],6,276915,java,unknown,,java-ant,,False,,,,,,,,,False
276917,thoughtbot/suspenders,False,,,ruby,,master,,,build_found,7e06fe7a1ebc5f3eaeccde3dda7434bbef93aac4,276914.0,,32,bc48b45c51e90d8189a07f08195187a3e9bf14c9#920989d3f3cf8e4b1107d64019f554f5b749861c,2,bc48b45c51e90d8189a07f08195187a3e9bf14c9,,bc48b45c51e90d8189a07f08195187a3e9bf14c9,,0,,16,0,0,0,2,0,0,3,0,0,9,437,0.0,0.0,0.0,True,,,2011-11-04 20:51:14,failed,703.0,[276918],7,276918,java,unknown,,java-ant,,False,,,,,,,,,False
276933,thoughtbot/suspenders,False,,,ruby,,master,,,build_found,bc48b45c51e90d8189a07f08195187a3e9bf14c9,276917.0,,32,f41153f0b0ba37c8cb6449872a60608361f289df,1,f41153f0b0ba37c8cb6449872a60608361f289df,,f41153f0b0ba37c8cb6449872a60608361f289df,,0,,2,0,0,0,1,0,0,1,0,0,6,437,0.0,0.0,0.0,True,,,2011-11-04 20:58:05,failed,752.0,[276934],8,276934,ruby,unknown,,ruby,cucumber,True,True,3.0,1.0,4.0,0.0,features/creating_a_heroku_app.feature,658.22,,False
276951,thoughtbot/suspenders,False,,,ruby,,master,,,build_found,f41153f0b0ba37c8cb6449872a60608361f289df,276933.0,,32,e9dc22b7b3e2debca40a43c673607df5fa5586c5,1,e9dc22b7b3e2debca40a43c673607df5fa5586c5,,e9dc22b7b3e2debca40a43c673607df5fa5586c5,,0,,2,0,0,0,1,0,0,1,0,0,7,437,0.0,0.0,0.0,True,,,2011-11-04 21:07:15,failed,695.0,[276952],9,276952,java,unknown,,java-ant,,False,,,,,,,,,False
297145,thoughtbot/suspenders,False,,,ruby,,master,,,build_found,e9dc22b7b3e2debca40a43c673607df5fa5586c5,276951.0,,33,b66f34a480dc1682f5de9de33c4e5affb31e8312#43f0a68cc15ca75f70e00f17378e8d0727afe525,2,b66f34a480dc1682f5de9de33c4e5affb31e8312,,b66f34a480dc1682f5de9de33c4e5affb31e8312,,0,,161,0,1,0,3,0,0,3,0,1,64,440,0.0,0.0,0.0,True,,,2011-11-11 15:49:16,failed,725.0,[297146],10,297146,java,unknown,,java-ant,,False,,,,,,,,,False
